Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.150528588,0.447416268,-0.112417669,-0.146651691,-0.856477615
-0.353500058,0.444377711,-0.112417669,-0.253307467,-0.33530023
-0.371839613,0.634332175,0.247497877,-0.266639439,-0.675108915
0.462301009,-0.493530831,1.354489395,-0.239975495,1.091690146
1.629850604,-1.610513123,2.555694496,-0.146651691,1.210455729
1.870325432,-2.01269735,1.936385363,-0.119987747,2.10029591
0.97529337,-1.456998995,-0.05690064,-0.133319719,0.401510111
0.175359108,-0.203549769,-0.112417669,-0.213311551,0.105497844
-0.230686864,0.732303278,-0.112417669,-0.226643523,-0.884816474
-0.414906655,0.869864985,-0.112417669,-0.239975495,-0.42984897
-0.693503029,0.542840346,-0.017363339,-0.27997141,0.305157989
-0.181128855,-0.400698462,1.672300861,-0.27997141,0.779962695
0.917389834,-1.516563638,2.382954745,-0.239975495,2.397853932
1.329617678,-1.571905582,1.351582977,-0.199979579,0.63491926
0.484246655,-0.616033809,-0.032166859,-0.253307467,0.198243202
-0.084382555,-0.010601434,-0.112417669,-0.226643523,0.155992539
-0.469719256,0.307508617,-0.112417669,-0.266639439,-0.290730933
-0.816316223,0.606024447,-0.112417669,-0.226643523,-0.57257377
-0.722969953,0.356103178,0.012419089,-0.146651691,0.018935511
-0.047188291,-0.458185269,1.023342928,-0.079991832,1.130076419
1.444703532,-1.475431414,2.322034117,-0.039995916,1.850656323
1.551443858,-1.673697223,1.261021902,-0.106655775,1.846534307
0.588720295,-0.973667436,0.00807199,0.013331972,0.264453082
-0.273444813,0.199170673,-0.112417669,0.119987747,0.274500496
-0.519998483,0.50005479,-0.112417669,-0.106655775,0.117606266
-0.838158838,0.722696078,-0.112417669,-0.253307467,-0.057321784
-0.948196163,0.836418522,-0.006261047,-0.27997141,-0.723542602
-0.418924872,0.603723187,0.856289343,0.546610849,0.86832841
0.792825109,-0.924804767,1.838069665,0.679930568,1.421709044
