Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.45373948,0.592743996,-0.095309143,-0.272476339,-0.191429393
0.081024907,-0.037556782,0.979231069,-0.365691929,-0.078823868
1.917589471,-2.016635911,2.52455287,-0.164919889,2.544884874
0.421329518,-0.427276435,0.000268099,-0.164919889,0.529245969
-0.540166048,0.684186596,-0.095309143,-0.250965049,-0.033781658
-0.232271401,-0.918236108,0.881576061,-0.344180639,1.959336142
1.247783571,-1.755371339,3.116716217,-0.279646769,3.051609738
0.135041512,-0.665680356,-0.026072614,-0.286817199,0.6643726
-0.637395937,-0.069126251,-0.095309143,-0.337010209,0.281513814
-0.280886345,-0.544845492,0.99189874,-0.150579029,0.506724864
1.469251651,-1.699852618,2.247740802,-0.02151129,2.634969294
0.075623247,-0.552465708,-0.015616758,0.143408599,1.441350725
-0.696814202,0.062594637,-0.095309143,-0.179260749,-0.011260553
-0.626592616,0.262897475,0.74947035,0.03585215,-0.326556024
0.756232467,-1.207804342,1.547667666,0.293987629,2.071941667
-0.599584313,0.303175763,-0.058713649,0.02868172,0.337816576
-1.12354538,-0.056063023,-0.095309143,-0.150579029,-0.292774366
-0.89667564,-0.027759361,0.678558203,-0.329839779,-0.360337681
0.880470658,-1.47233472,1.985808221,-0.222283329,2.263371061
-0.027008302,-0.602541418,-0.053016549,-0.250965049,0.382858786
-0.78864243,0.233505211,-0.095309143,-0.387203219,-0.112605525
-0.324099629,-0.259631668,1.130706922,-0.365691929,0.101344973
1.490858293,-1.77387758,1.980312194,-0.172090319,2.556145427
-0.010803321,-0.277049306,-0.03398153,-0.351351069,0.912104756
-0.518559406,-0.564440335,-0.095309143,-0.401544079,0.191429393
-0.421329518,-0.67656638,0.700676358,-0.437396228,0.202689946
1.377423423,-1.718358859,1.876624962,-0.401544079,1.9931178
-0.054016605,0.062594637,-0.039008383,-0.401544079,0.439161549
-0.810249072,0.893198254,-0.095309143,-0.430225798,-0.258992708
-0.135041512,0.179075092,1.377558943,0.717042997,0
2.112049248,-2.147268197,2.966111685,1.785437063,2.736314267
0.302492987,-0.461023108,-0.030563269,0.580804828,0.596809285
-0.659002579,1.071729044,-0.095309143,-0.09321559,-0.033781658
-0.399722876,0.907350085,0.620112652,0.08604516,0.101344973
0.842659035,-0.840945339,1.573204082,0.752895147,1.970596695
-0.351107931,0.541579685,-0.034785826,-0.05019301,0.09008442
-0.799445751,1.196918318,-0.095309143,-0.143408599,-0.281513814
-0.410526197,0.771274787,0.642565931,-0.301158059,-0.157647736
0.9020773,-0.808287268,1.650215479,-0.258135479,1.790427854
-0.232271401,0.299909956,-0.019504192,-0.344180639,0.484203759
-0.923683942,0.834413725,-0.095309143,-0.337010209,-0.405379891
-0.167451475,0.181252296,1.115358262,0.01434086,0.360337681
1.561079879,-1.687877992,1.973877822,0.09321559,2.79261703
0.10803321,0.014696132,-0.030496245,-0.322669349,0.585548732
-0.810249072,1.029273551,-0.095309143,-0.401544079,-0.405379891
-0.059418265,0.112670346,1.222061607,-0.394373649,0.202689946
1.879777848,-1.880560613,2.598481129,0,2.984046423
0.567174351,-0.842033942,-0.043968212,0.337010209,0.540506522
-0.621190955,0.930210735,-0.095309143,-0.00717043,-0.168908288
0.00540166,0.225884994,1.200412624,0.752895147,0.168908288
1.701523052,-1.780409194,2.402232767,0.810258587,3.231778579
0.313296308,-0.389175351,0.072922889,0,0.349077129
-1.01011051,0.565528937,-0.095309143,-0.430225798,-0.686893705
-0.297091326,-0.110493142,0.98251528,-0.215112899,-0.517985417
2.641411975,-2.469494501,3.228513439,1.240484385,1.925554484
0.599584313,-0.527427854,-0.008713213,1.369552125,1.238660779
-0.972298887,0.844211147,-0.095309143,0.286817199,-0.337816576
-0.594182653,0.426187832,0.596184829,-0.408714508,-0.416640444
2.46315718,-2.27681188,2.938430478,-0.236624189,1.925554484
0.631994276,-0.513276023,0.014879486,-0.143408599,0.472943207
-0.567174351,0.480617951,-0.095309143,-0.143408599,-0.608069837
0.291689666,-0.182340899,1.155304992,0.523441388,-0.202689946
2.673821938,-2.332330601,3.031996978,2.387753181,1.936815037
0.361911252,-0.240036825,-0.078888088,0.473248378,-0.394119339
-0.399722876,0.948716975,-0.095309143,-0.10755645,-0.596809285
0.183656456,-0.061506035,1.108990915,-0.279646769,-0.123866078
2.063434304,-1.88382642,2.360476371,2.63871823,1.035970834
0.10803321,0.089809696,-0.081233953,4.481518733,-0.405379891
-0.34030461,0.655882935,-0.095309143,1.498619864,-0.506724864
-0.496952764,0.845299749,0.300471792,0.344180639,-0.394119339
0.378116234,-0.003810108,1.189219497,0.767236007,0.101344973
-0.399722876,0.940008156,-0.062400009,0.968008046,-0.630590942
-0.621190955,1.063020225,-0.095309143,0.501930098,-0.653112047
0.059418265,0.246568439,1.084057721,-0.11472688,-0.225211051
1.399030065,-1.078260658,2.264496981,1.426915565,0.720675363
0.032409963,0.600364213,-0.056971007,1.828459643,0.033781658
-0.626592616,1.103298513,-0.095309143,1.914504803,-0.13512663
-0.189058117,0.475174939,0.801816651,1.197461806,-0.270253261
