Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.192066241,0.092578166,-0.087540236,-0.164066454,-0.721125118
-0.384132482,0.245594154,-0.087540236,-0.300788499,-0.78015929
-0.372834467,0.185913261,0.061095688,-0.328132908,-0.522528108
0.689178864,-1.106629326,1.119120342,-0.314460704,0.407184418
1.559125955,-1.765943078,2.603413302,-0.191410863,2.176090406
1.773788224,-2.162544449,1.970007828,-0.068361023,2.355917576
0.248556312,-0.375698502,-0.001743047,-0.095705432,1.133153365
-0.180768227,0.38684864,-0.087537797,-0.164066454,0.125636828
-0.361536453,0.428537927,-0.087540236,-0.191410863,-0.312124264
-0.553602694,-0.154791859,-0.087540236,-0.232427477,-0.370855697
-0.598794751,-1.405907172,0.003133581,-0.287116295,0.35995708
0.169470212,-2.290523575,0.90111505,-0.314460704,1.159188949
0.937735176,-2.64977344,1.994012842,-0.27344409,1.554263793
1.118503402,-1.884402373,2.094360632,-0.205083068,1.797666225
-0.124278156,-0.590957295,-0.021264198,-0.246099681,0.151672411
-0.440622552,-0.245710605,-0.087540236,-0.246099681,-0.7756182
-0.576198722,-0.118866872,-0.087540236,-0.314460704,-0.423229603
-0.711774892,0.048064954,-0.087540236,-0.27344409,0.118371084
-0.587496737,-0.510431758,0.03287272,-0.164066454,1.733788224
0.497112623,-1.533682509,1.804513504,-0.068361023,2.213932824
1.536529927,-2.262546336,2.899573943,0.068361023,2.502746158
1.118503402,-1.838695543,1.293110343,-0.054688818,1.646599293
-0.067788085,-0.470110764,-0.040420638,0.082033227,0.565214355
-0.485814609,0.313164571,-0.087540236,0.246099681,0.262777751
-0.655284822,0.303586515,-0.087540236,-0.054688818,-0.723547032
-0.892543119,0.316745424,-0.087540236,-0.232427477,-0.763508626
-0.926437162,0.341753174,0.012820971,-0.259771886,-0.517987018
-0.418026524,0.304168768,0.62918386,0.382821726,0.158635416
0.745668935,-1.147649023,2.310150827,0.505871567,1.875772976
0.316344397,-1.297782861,1.082799341,0.109377636,1.802510055
-0.621390779,0.148794657,-0.046889062,0.082033227,-0.037539679
-0.869947091,0.404723795,-0.087540236,0.027344409,-0.496189785
-1.095907374,-0.779607143,-0.087540236,-0.041016614,-0.649981372
-1.265377587,-0.062475706,-0.087540236,-0.191410863,-0.730510037
-1.186291487,-0.05112178,-0.043718888,-0.300788499,-0.7756182
-0.463218581,-0.454389943,0.74298202,-0.27344409,0.307583174
0.316344397,-1.853251858,1.001211568,-0.218755272,0.880366013
0.643986807,-1.613509343,1.323373982,-0.15039425,1.688982801
-0.338940425,-0.258461937,-0.003007945,-0.177738659,-0.238558603
-0.734370921,0.152957763,-0.087540236,-0.246099681,-0.614560869
-0.779562977,0.087396118,-0.087540236,-0.328132908,-0.57217736
-0.745668935,-0.252639411,-0.087540236,-0.355477317,-0.837074287
-0.892543119,-0.178023738,0.050630088,-0.328132908,-0.662090946
