Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.343967019,0.268653915,-0.173294929,-0.272476339,-0.815585137
0.141272169,-0.408789161,0.581528918,-0.365691929,-0.071143156
1.781257777,-2.02735517,2.471353116,-0.164919889,2.425127891
0.006142268,0.092674125,-0.125509367,-0.164919889,0.666956921
-0.528235065,0.233984345,-0.173294929,-0.250965049,-0.376042394
-0.264117532,-1.902478921,0.427830614,-0.344180639,0.806804039
1.087181471,-2.353292989,2.20120888,-0.279646769,1.7912627
-0.337824751,-0.363560491,-0.136382907,-0.286817199,-0.344332874
-0.730929915,0.04857343,-0.173294929,-0.337010209,-0.172938848
-0.079849487,-1.013321176,0.947535716,-0.150579029,2.111284941
1.412721685,-2.120319122,2.25930413,-0.02151129,2.219585151
-0.331682483,0.002216784,-0.147051966,0.143408599,0.435558726
-0.872202084,0.420491903,-0.173294929,-0.179260749,-0.807942329
-0.761641256,0.4342626,0.281775582,0.03585215,-0.202209175
0.546661869,-1.229281419,1.813897252,0.293987629,1.966559436
-0.841490743,0.384537695,-0.150654514,0.02868172,-0.295874221
-1.314445394,-0.366474426,-0.173294929,-0.150579029,-0.750702579
-0.927482498,-0.185356083,0.313665232,-0.329839779,-0.260587216
0.491381456,-1.77888731,1.21887831,-0.222283329,1.370908283
-0.61422682,0.029899175,-0.126215203,-0.250965049,-0.467430859
-0.859917547,-0.002248117,-0.173294929,-0.387203219,-0.766150807
-0.417674237,-0.533273752,0.582178368,-0.365691929,0.123179292
1.400437149,-1.951451842,2.110798033,-0.172090319,1.402455191
-0.448385578,0.296320639,-0.128818439,-0.351351069,0.480277281
-0.970478375,0.326352977,-0.173291533,-0.401544079,-0.386287009
-0.88448662,0.043262547,0.207256571,-0.437396228,0.006423211
1.050327862,-1.558869491,1.796610728,-0.401544079,2.176167499
-0.386962896,0.419630255,-0.12741492,-0.401544079,0.561258519
-0.700218574,0.628462321,-0.173294929,-0.430225798,-0.543858935
-0.104418559,-0.104815524,0.758837057,0.717042997,-0.171637945
1.609274267,-1.745126388,2.928507167,1.785437063,2.462041026
-0.079849487,0.017021458,-0.126199578,0.580804828,0.23245518
-0.466812383,0.650849495,-0.17329425,-0.09321559,-0.082688674
-0.44224331,0.591693465,0.212327176,0.08604516,0.832171655
0.380820628,-0.02740823,1.810864672,0.752895147,1.665725521
-0.460670115,0.589421848,-0.131928465,-0.05019301,0.183996527
-0.595800015,0.635747161,-0.173287457,-0.143408599,0.439786662
-0.350109287,0.619062529,0.370700029,-0.301158059,0.950391254
0.620369088,-0.146644603,1.902795205,-0.258135479,1.463435039
-0.37467836,0.427432084,-0.113574015,-0.344180639,0.737043093
-0.724787647,0.501800112,-0.173293571,-0.337010209,0.304980545
-0.380820628,0.380997107,0.297661304,0.01434086,0.539793612
0.939767034,-0.594795396,1.777999487,0.09321559,1.848502451
-0.104418559,0.414131377,-0.120368789,-0.322669349,0.44580334
-0.497523724,0.614879621,-0.17329425,-0.401544079,-0.045775539
0.049138146,0.049262748,0.636916991,-0.394373649,-0.154888813
1.879534068,-2.007317945,2.543525001,0,1.616128578
0.061422682,-0.003783417,-0.14889502,0.337010209,-0.152449619
-0.448385578,0.599855618,-0.17329425,-0.00717043,-0.264327313
-0.030711341,0.055121952,0.678189027,0.752895147,0.118138292
1.523282513,-1.852205695,1.800132434,0.810258587,0.81298333
-0.540519601,0.09350444,-0.142960971,0,-0.388726203
-1.142461885,0.51535148,-0.173294929,-0.430225798,-0.302378738
-0.061422682,-0.394391811,0.774924544,-0.215112899,-0.47637457
2.800874297,-2.774278382,3.315155078,1.240484385,2.459601832
-0.141272169,0.125307073,-0.11432197,1.369552125,0.464829053
-1.412721685,0.403901269,-0.173294929,0.286817199,-0.266766507
0.20269485,-0.656144712,0.941060912,-0.408714508,-0.724034059
2.696455738,-2.873023206,3.222810146,-0.236624189,2.12787146
-0.221121655,-0.070255619,-0.1498855,-0.143408599,-0.438160533
-0.583515479,0.197701145,-0.173291533,-0.143408599,-0.437022242
0.515950528,-0.688667995,1.075480182,0.523441388,-0.130984713
2.493760888,-2.644921565,2.553259965,2.387753181,2.252270349
0.405389701,-0.167151818,-0.151397714,0.473248378,-0.410516335
-0.294828873,0.554329288,-0.173291533,-0.10755645,-0.710374573
0.055280414,-0.32123009,0.68054906,-0.279646769,-0.413931206
2.456907278,-2.377058799,2.986101742,2.63871823,1.166341221
0.073707218,0.242945481,-0.153388184,4.481518733,-0.569063939
-0.44224331,0.424894139,-0.173294929,1.498619864,-0.60077346
-0.085991755,0.177804916,0.248377114,0.344180639,-0.208388466
0.982762911,-0.851315745,1.319736071,0.767236007,0.470032666
-0.23954846,-0.097186026,-0.111022409,0.968008046,-0.456210567
-0.847633011,0.430126691,-0.173294929,0.501930098,-0.574267553
-0.073707218,-0.209419553,0.62518816,-0.11472688,-0.331486452
1.854964995,-1.755231165,1.962221285,1.426915565,0.807942329
0.06756495,0.165162195,-0.137586021,1.828459643,-0.414256432
-0.436101042,0.422199532,-0.173294929,1.914504803,-0.29083322
0.171983509,-0.2920124,0.645969217,1.197461806,0.036669215
