Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.200468835,0.175000486,-0.117653725,-0.164066454,0.197070924
-0.533949909,0.415259757,-0.117653725,-0.300788499,-1.079530104
-0.449764947,0.412438948,0.126096353,-0.328132908,-0.406886393
0.631169962,-0.924844886,1.407593211,-0.314460704,0.022940182
1.420336087,-1.747735952,2.313053338,-0.191410863,1.731514236
1.483013149,-1.793089642,1.625354265,-0.068361023,2.095874092
0.457151499,-0.678821355,0.035736876,-0.095705432,1.762906064
-0.07489746,0.184223303,-0.117653725,-0.164066454,0.324784688
-0.382091101,0.568858894,-0.117653725,-0.191410863,-0.19519278
-0.458780885,-0.037001645,-0.117653725,-0.232427477,0.742000871
-0.581419365,-0.886530952,0.001092714,-0.287116295,1.286930818
0.295624998,-1.879970534,1.223643338,-0.314460704,0.530307258
1.153768479,-2.354479526,3.395588289,-0.27344409,1.911547714
0.748920282,-1.469015576,1.207173915,-0.205083068,2.301396662
-0.027753881,-0.572685381,0.003659872,-0.246099681,1.716489087
-0.2635804,-0.450875526,-0.117653725,-0.246099681,0.016500833
-0.527975492,-0.163251207,-0.117653725,-0.314460704,-0.299832209
-1.078382204,0.148386774,-0.117653725,-0.27344409,-0.717048392
-0.932823689,-0.184910108,-0.01967673,-0.164066454,-0.641654342
0.509509114,-1.546649122,1.755214121,-0.068361023,-0.149044109
1.099238349,-1.788919751,1.80757521,0.068361023,1.689390158
1.075014805,-1.60595968,1.163457469,-0.054688818,1.586628873
0.110743959,-0.725793943,-0.003628389,0.082033227,1.758344858
-0.281395024,-0.124986331,-0.117653725,0.246099681,-0.216120666
-0.461605155,-0.162368171,-0.117653725,-0.054688818,-0.365030622
-0.652134733,-0.347658475,-0.117653725,-0.232427477,-0.008451646
-0.947053663,0.326858081,-0.030636668,-0.259771886,-0.371469971
-0.462474161,0.223567444,0.691891528,0.382821726,-0.67519262
0.688850239,-1.139201778,1.589377333,0.505871567,0.534331851
0.170053623,-1.074445834,0.801257415,0.109377636,2.374912568
-0.547528129,0.06116248,-0.044120475,0.082033227,0.727244028
-0.8375589,0.539228144,-0.117653725,0.027344409,-0.691827606
-0.815073369,-0.734673357,-0.117653725,-0.041016614,0.096187782
-1.109557796,-0.302795361,-0.117653725,-0.191410863,-0.49247608
-1.368521601,0.061015307,0.048427055,-0.300788499,-0.362884172
-0.269337565,-0.724542976,1.092541224,-0.27344409,0.257708131
0.657131518,-1.766353286,1.718540632,-0.218755272,1.314029747
0.594128579,-1.516012693,1.360732424,-0.15039425,2.054018321
-0.191018394,-0.435446932,-0.037696678,-0.177738659,0.677070764
-0.570122286,-0.020199439,-0.117653725,-0.246099681,0.28266061
-0.46660194,-0.46829095,-0.117653725,-0.328132908,0.081967552
-0.69113138,-0.48499504,-0.117653725,-0.355477317,0.140190004
-1.173864244,0.067490902,0.093459218,-0.328132908,-0.031525982
0.148219846,-0.902450121,1.397886025,-0.314460704,-0.022940182
1.165391435,-1.792672653,1.819361571,-0.191410863,1.515259417
0.986267562,-1.413310746,1.200433979,-0.082033227,1.481721138
-0.058169093,-0.351386848,-0.007520446,-0.259771886,1.762369452
-0.348525742,0.040460201,-0.117653725,-0.355477317,-0.488719792
-0.534710289,-0.028097702,-0.117653725,-0.355477317,-0.033672431
-0.688089858,-0.708991738,-0.117653725,-0.355477317,0.808809121
-0.93944986,-0.648773616,0.067419034,-0.382821726,-0.718926535
0.057191461,-1.115556047,1.096997347,-0.396493931,0.802638078
0.97019095,-1.672457167,2.192292002,-0.355477317,1.561676394
1.323985041,-1.836775375,1.261730927,-0.355477317,1.662022923
-0.064034884,-0.080294918,-0.024551311,-0.355477317,1.949378892
-0.449330444,0.611906879,-0.117653725,-0.355477317,0.440156365
-0.592933695,0.660007791,-0.117653725,-0.369149522,-0.199217374
-0.669949357,0.606118091,-0.117653725,-0.396493931,-0.371201665
-0.64811558,0.452052907,0.089586838,-0.041016614,-0.331492343
0.507662476,-0.793027293,1.429517023,1.462925883,-0.517965171
1.563070332,-1.817324063,2.644574748,1.927780837,2.022626492
1.278796726,-1.599165212,1.371123049,1.531286906,2.148462112
0.270641074,-0.51980136,-0.01401639,0.683610226,1.471257196
-0.230232292,0.186945996,-0.117653725,0.478527158,0.779563742
-0.37980996,0.614923918,-0.117652413,0.095705432,-0.320760094
-0.474857497,0.774115614,-0.117652413,-0.218755272,-0.916131612
-0.503860574,0.687455481,0.002678659,-0.232427477,-0.400447044
-0.050782541,0.106123709,0.808646682,0.451182749,1.152777704
0.54622462,-0.701044418,1.375644761,1.025415339,1.223878854
0.268359933,-0.161705895,0.726264151,0.464854953,0.924180799
-0.170488126,0.15603975,-0.038032495,0.109377636,0.584505115
-0.46377767,0.597189619,-0.117653725,-0.15039425,-0.232755652
-0.458998137,0.466794695,-0.117653725,-0.15039425,-0.367177072
-0.562844361,0.675019396,-0.117653725,-0.068361023,-0.775807455
-0.521566573,0.601285923,-0.009358253,-0.27344409,-1.023185797
0.095536353,0.096189559,0.827434024,-0.246099681,-0.47396295
0.499732796,-0.312974799,1.314667888,-0.218755272,1.416791031
0.540141577,-0.461153079,0.95386357,-0.218755272,1.079530104
-0.119325394,0.108772816,-0.029341939,-0.287116295,1.186315983
-0.317893278,0.187289398,-0.117653725,-0.314460704,0.360469416
-0.480506037,0.093491394,-0.117653725,-0.314460704,-0.830273619
-0.633125225,0.233673296,-0.117653725,-0.27344409,-0.373079809
-0.413049441,0.058120913,0.014316788,0.041016614,-0.67733907
0.303554678,-0.480947794,0.990834833,0.041016614,0.13616541
0.875360664,-0.801882178,1.724536788,0.15039425,1.391570246
1.369390607,-1.553002073,2.134782169,0.082033227,1.790004993
0.370794022,-0.516122045,0.093617944,-0.218755272,1.121117569
-0.286391809,0.599814197,-0.117653725,-0.341805113,-0.234902102
-0.387522389,0.564198428,-0.117653725,-0.355477317,-0.438278222
-0.692217637,0.606903011,-0.117653725,-0.355477317,-0.727512334
