Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.433844282,0.415752216,-0.218870622,-0.272476339,-0.524907797
0.068351248,-0.190555066,0.788650652,-0.365691929,-0.249793922
1.560939978,-1.855748868,2.158242891,-0.164919889,2.074311236
0.178487594,-0.180763299,-0.131507957,-0.164919889,1.114226001
-0.492218332,0.383638997,-0.218870622,-0.250965049,0.263860563
-0.187839355,-1.429982346,0.612688095,-0.344180639,0.964971542
1.012223904,-2.011176308,2.536621932,-0.279646769,2.287087683
-0.190877188,-0.471616538,-0.149777216,-0.286817199,0.918477593
-0.911975407,0.083020965,-0.218870622,-0.337010209,-0.599090817
-0.263249098,-0.86091345,0.903611829,-0.150579029,-0.474267891
1.161137298,-1.77549954,1.607280505,-0.02151129,1.770027591
-0.124700076,-0.376612123,-0.1539282,0.143408599,0.813199894
-0.64184651,-0.189246799,-0.218870622,-0.179260749,-0.244019196
-0.804042979,0.39384887,0.291760879,0.03585215,-0.615526576
0.439860383,-1.125992493,1.276718464,0.293987629,1.567616037
-0.790640774,0.421322463,-0.176990216,0.02868172,-0.018360668
-1.086501905,-0.479263827,-0.218870622,-0.150579029,-0.256605138
-0.929249361,-0.273650211,0.56497868,-0.329839779,-0.095949296
0.655010454,-1.713633377,1.66892814,-0.222283329,1.820815566
-0.44849736,-0.159345495,-0.173331583,-0.250965049,0.49174014
-0.66597048,-0.432975475,-0.218870622,-0.387203219,0.084695983
-0.593539005,-0.367912826,0.764533706,-0.365691929,-0.067964084
1.148747703,-1.67163398,1.635053096,-0.172090319,1.616034894
-0.254135598,-0.07977053,-0.156144897,-0.351351069,0.664981923
-0.701650129,-0.31409857,-0.218870622,-0.401544079,0.389868048
-0.514912733,-0.878932459,0.578333401,-0.437396228,0.008291914
1.226897453,-1.838377249,1.882364605,-0.401544079,1.74115396
-0.312628779,0.383504124,-0.165844721,-0.401544079,1.280804639
-0.723629746,0.787380788,-0.218870622,-0.430225798,-0.352702503
-0.108140907,-0.096292451,0.780343455,0.717042997,-0.506695199
1.527225985,-1.787381835,2.202263041,1.785437063,2.263988779
-0.008964586,-0.09182816,-0.159844622,0.580804828,1.204252501
-0.499783133,0.854965559,-0.218869128,-0.09321559,-0.720508136
-0.335263615,0.527548297,0.37723259,0.08604516,0.377282106
0.415557717,-0.383193917,1.112276456,0.752895147,1.147541729
-0.378925022,0.505361718,-0.173522845,-0.05019301,0.156213745
-0.591454218,0.719027242,-0.218870622,-0.143408599,-0.668683671
-0.264738232,0.474705126,0.381077255,-0.301158059,-0.864135939
0.539096269,-0.334464366,1.207175293,-0.258135479,1.33973646
-0.270873464,0.253985754,-0.168573193,-0.344180639,0.815717082
-0.641786945,0.271087627,-0.218870622,-0.337010209,-0.701999398
-0.09116478,-0.141299511,0.487625145,0.01434086,-0.336562884
1.199795215,-1.203652264,2.113198443,0.09321559,1.717906986
0.015159384,0.137212865,-0.098542154,-0.322669349,0.451168987
-0.623202554,0.735131057,-0.218870622,-0.401544079,-0.681269612
-0.121423981,0.099907042,0.475781095,-0.394373649,-0.792470107
1.792947045,-2.062077311,2.191736159,0,1.444866089
0.437894726,-0.588901944,-0.068655222,0.337010209,1.085204301
-0.500736178,0.728306492,-0.218870622,-0.00717043,-0.720508136
-0.106770903,0.195788131,0.619677377,0.752895147,-0.180201069
1.689362889,-1.992469448,2.524157775,0.810258587,1.683258629
0.08205128,-0.163283781,-0.049644076,0,0.621301302
-1.073695353,0.72226419,-0.218870622,-0.430225798,-0.874352762
-0.082289541,-0.281270525,0.957321343,-0.215112899,-0.965711891
2.710432248,-2.812388304,2.86314954,1.240484385,1.302718985
0.465473487,-0.684526774,-0.086177363,1.369552125,1.584940215
-0.759428526,0.70459585,-0.218870622,0.286817199,-0.417409049
-0.2085681,-0.136727323,0.638312724,-0.408714508,-0.836446868
2.681364354,-2.718543795,3.84985015,-0.236624189,1.356024149
0.402870296,-0.327923034,-0.055954228,-0.143408599,1.115262491
-0.352180177,0.444736385,-0.218870622,-0.143408599,-0.469529654
0.552379343,-0.722601372,1.034261722,0.523441388,-0.460497391
2.476519089,-2.476204309,3.228190297,2.387753181,2.230376911
0.434916458,-0.161584384,-0.179283119,0.473248378,0.747308788
-0.311794864,0.829595981,-0.21882729,-0.10755645,-0.486853833
0.410554227,-0.383490637,1.419119018,-0.279646769,-0.913887426
2.35512489,-2.37059889,2.691409691,2.63871823,0.894194129
0.029395504,0.112369291,-0.205283548,4.481518733,-0.831560561
-0.304110933,0.647746956,-0.218851197,1.498619864,-0.642919508
-0.207912881,0.320248771,0.121284405,0.344180639,-0.916108474
0.646671304,-0.368088161,1.282441382,0.767236007,0.369138262
-0.405074214,0.150754096,-0.190412925,0.968008046,-0.904559022
-0.841688285,0.596441335,-0.218870622,0.501930098,-1.01205777
-0.012955465,-0.135257209,1.034116781,-0.11472688,-0.470714214
1.341739462,-1.044853004,1.595856334,1.426915565,0.593464161
0.009500675,0.462687958,-0.17434318,1.828459643,0.636404432
-0.534926694,0.771263486,-0.218865393,1.914504803,0.032575378
-0.0204607,0.155353259,0.804208622,1.197461806,-0.311242931
1.250425769,-1.030502536,1.518159126,1.591835454,1.33973646
-0.091760433,0.23097645,-0.154695489,0.860451597,0.688376967
-0.57590766,0.652494479,-0.218870622,0.200772039,-0.259122326
-0.048873376,0.143349578,0.521355249,0.02151129,-0.781661005
1.030331773,-0.792694777,1.38320509,1.771096203,1.040042981
0.073533434,-0.102186393,-0.14190783,2.251515012,0.680233123
-0.61682906,0.779301906,-0.218867634,4.495859593,-0.111052425
-0.536951916,0.321192881,1.014829949,0.709872567,-0.186271935
1.000132136,-1.160169266,1.783773514,-0.11472688,0.808757796
0.094679136,-0.032565043,-0.07956164,-0.222283329,0.517208162
-0.518903612,0.769671986,-0.218870622,-0.358521499,-0.541195486
-0.431759494,0.641043777,0.150684217,-0.09321559,-0.752935444
0.379520676,-0.498577615,1.269800905,2.086595122,-0.548302842
-0.034220298,0.231461993,-0.109193058,2.079424692,0.340116561
-0.543504105,0.781284536,-0.218870622,-0.12906774,-0.527276916
-0.170922794,0.320707338,0.752228684,-0.415884938,-0.329455529
1.746545632,-1.387605305,2.234454831,0.229453759,0.897747807
0.138280978,0.289902386,-0.175099262,0.616656978,-0.174426343
-0.382439378,0.688829217,-0.218870622,-0.150579029,-0.980815021
0.058225137,0.209396799,0.69814337,-0.222283329,-0.526092356
1.592271356,-1.590885622,1.794494647,0.236624189,1.455379052
0.072639954,0.034210491,-0.099923574,0.06453387,1.401037398
-0.551247602,0.656783435,-0.218870622,-0.351351069,-0.689413457
0.046312066,0.12527662,0.5990674,-0.329839779,-0.55052389
1.655708462,-1.381360694,2.197208793,0.932155897,1.673930225
0.253122987,-0.059634018,-0.148404015,0.838940307,1.058551719
-0.544635847,0.657093642,-0.218870622,-0.164919889,-0.507879759
0.354384095,-0.294461087,0.941571364,-0.10038602,-0.683490661
1.922561264,-1.609713868,1.862361287,2.344730601,0.581618569
0.213631155,0.217205935,-0.144826817,2.81080855,0.719471646
-0.371955875,0.855140893,-0.218870622,0.200772039,-0.137408868
0.252408203,-0.187695762,0.763859806,-0.05736344,-0.652247912
1.440439259,-1.256360563,1.72617899,0.537782248,1.848652708
-0.154959278,0.108849111,-0.149754056,0.623827408,0.651359492
-0.567270683,0.730423995,-0.218870622,0.236624189,-0.747160718
-0.124223553,0.170742248,0.408649619,0.394373649,-0.424368335
1.307489381,-1.254458856,1.670544902,1.333699975,1.241269976
0.174318019,-0.347574005,-0.12981499,0.580804828,0.881608188
-0.446948661,0.233673907,-0.218870622,0.315498919,-0.159619353
-0.235015118,-0.040279768,0.458681075,0.02151129,-0.205669092
1.225884841,-1.186361568,1.684647488,1.032541916,1.414807899
0.104864812,-0.01322428,-0.050178264,0.745724717,0.660539826
-0.574061134,0.903695109,-0.218843726,0.03585215,-0.216182055
-0.046907719,0.217475681,0.645257179,0.04302258,-0.078477047
