Temperatura,Humedad,Radiacion,Precipitacion
-0.278311697,0.310039631,-0.11860532,-0.164066454
-0.597854757,0.656348049,-0.11860532,-0.300788499
-0.391697944,0.42937564,0.058703643,-0.328132908
0.938013497,-1.112632788,2.096558686,-0.314460704
1.226633035,-1.557217919,1.346140431,-0.191410863
1.504944732,-1.746751581,1.088563221,-0.068361023
0.237080335,-0.75228484,-0.046573554,-0.095705432
-0.216464653,0.062007926,-0.11860532,-0.164066454
-0.350466581,0.801423197,-0.11860532,-0.191410863
-0.49477635,0.862261162,-0.11860532,-0.232427477
-0.793703729,0.473834153,0.001048279,-0.287116295
0.030923522,-0.721865857,1.624982736,-0.314460704
0.463852828,-1.187510284,0.823049039,-0.27344409
0.773088047,-1.271747467,0.736341361,-0.205083068
0.268003856,-0.65868797,0.013028615,-0.246099681
-0.391697944,0.17432417,-0.11860532,-0.246099681
-0.546315553,0.092426909,-0.11860532,-0.314460704
-0.752472366,0.398956657,-0.11860532,-0.27344409
-0.566931235,-0.092426909,0.010932056,-0.164066454
0.298927378,-0.796743353,1.473880756,-0.068361023
1.47402121,-1.594656667,2.601529821,0.068361023
0.927705657,-1.27642731,0.378578597,-0.054688818
0.247388175,-0.506593057,-0.070534224,0.082033227
-0.422621466,0.518292666,-0.11860532,0.246099681
-0.670009641,0.780363901,-0.11860532,-0.054688818
-0.968937019,0.763984449,-0.11860532,-0.232427477
-0.989552701,0.799083275,0.011531073,-0.259771886
0.144309769,0.129865657,0.921437543,0.382821726
0.855550772,-1.040095214,1.886004292,0.505871567
0.721548844,-1.012016154,1.013386616,0.109377636
-0.278311697,0.218782683,-0.071133241,0.082033227
-0.680317482,0.848221632,-0.11860532,0.027344409
-1.061707585,0.916079362,-0.11860532,-0.041016614
-1.278172238,0.693786797,-0.11860532,-0.191410863
-1.154478151,0.424695796,-0.037588302,-0.300788499
-0.381390103,-0.050308317,0.77452868,-0.27344409
0.628778278,-0.934798736,1.551153919,-0.218755272
0.82462725,-1.292806763,1.453813695,-0.15039425
-0.123694088,-0.288980335,0.043877978,-0.177738659
-0.566931235,0.258561353,-0.11860532,-0.246099681
-0.556623394,0.272600883,-0.11860532,-0.328132908
-0.783395888,0.441075248,-0.11860532,-0.355477317
-0.804011569,0.457454701,0.092548091,-0.328132908
0.381390103,-0.682087188,1.244457334,-0.314460704
1.072015426,-1.351304806,1.787016772,-0.191410863
1.432789848,-1.662514398,1.552501707,-0.082033227
0.278311697,-0.710166249,0.017820749,-0.259771886
-0.288619538,0.132205578,-0.11860532,-0.355477317
-0.381390103,0.008189726,-0.11860532,-0.355477317
-0.855550772,-0.029249022,-0.11860532,-0.355477317
-0.886474294,-0.277280726,0.002246313,-0.382821726
-0.030923522,-0.728885623,0.550795918,-0.396493931
1.010168382,-1.372364102,2.134296743,-0.355477317
1.597715298,-1.812269389,1.950099087,-0.355477317
0.453544988,-0.649328283,0.019917308,-0.355477317
-0.402005785,0.799083275,-0.11860532,-0.355477317
-0.700933163,1.103273101,-0.11860532,-0.369149522
-1.102938948,1.131352162,-0.11860532,-0.396493931
-0.577239075,0.632948831,0.000898525,-0.041016614
1.247248716,-1.274087389,2.821967992,1.462925883
2.216185736,-2.259194442,3.588859208,1.927780837
1.917258357,-2.322372329,1.646846848,1.531286906
0.886474294,-1.53147878,-0.003144838,0.683610226
-0.092770566,-0.033928865,-0.11860532,0.478527158
-0.618470438,0.934798736,-0.11860532,0.095705432
-0.49477635,1.04711498,-0.11860532,-0.218755272
-0.422621466,0.817802649,0.015125173,-0.232427477
0.453544988,-0.008189726,1.515212913,0.451182749
1.30909576,-1.283447076,2.466002278,1.025415339
0.762780207,-0.766324371,0.901370481,0.464854953
0.020615681,0.235162135,-0.013178369,0.109377636
-0.474160669,0.911399519,-0.11860532,-0.15039425
-0.288619538,0.464474466,-0.11860532,-0.15039425
-0.546315553,0.717186014,-0.11860532,-0.068361023
-0.587546916,0.522972509,0.029501576,-0.27344409
0.639086119,-0.256221431,1.899182661,-0.246099681
1.267864398,-1.000316545,2.696174471,-0.218755272
0.721548844,-0.581470553,1.135735791,-0.218755272
0.123694088,-0.141565265,-0.024709442,-0.287116295
-0.268003856,0.408316344,-0.11860532,-0.314460704
-0.257696016,0.033928865,-0.11860532,-0.314460704
-0.360774422,0.033928865,-0.11860532,-0.27344409
-0.16492545,-0.155604796,-0.04073314,0.041016614
0.474160669,-0.544031805,0.882201944,0.041016614
0.876166454,-0.836522023,1.399303169,0.15039425
1.123554629,-1.250688171,1.112074629,0.082033227
0.587546916,-0.925439049,0.023062146,-0.218755272
0.010307841,-0.087747065,-0.11860532,-0.341805113
-0.16492545,-0.043288552,-0.11860532,-0.355477317
-0.721548844,-0.036268787,-0.11860532,-0.355477317
-0.597854757,0.043288552,0.074427833,-0.355477317
0.762780207,-0.995636701,1.399452923,-0.341805113
1.14417031,-1.180490519,0.854796927,-0.123049841
1.061707585,-1.334925354,0.509164252,0.177738659
0.453544988,-1.093913415,0.00464238,0.451182749
-0.628778278,0.04094863,-0.11860532,0.246099681
-0.49477635,0.553391492,-0.11860532,0.109377636
-0.566931235,1.098593258,-0.11860532,-0.068361023
-0.536007713,1.121992475,-0.019468045,0.027344409
0.711241004,-0.459794622,1.480619695,1.462925883
0.876166454,-0.932458814,0.549298376,1.093776361
1.020476222,-1.271747467,0.444919704,0.505871567
0.216464653,-0.68442711,0.021265095,0.287116295
-1.041091904,0.256221431,-0.11860532,-0.232427477
-1.566791776,0.49723337,-0.11860532,-0.369149522
-1.061707585,0.511272901,-0.11860532,-0.396493931
-0.989552701,0.700806562,0.064993319,-0.341805113
0.855550772,-0.897359988,2.738554907,-0.013672205
1.886334835,-2.174957259,2.23672861,0.875021089
2.339879823,-2.757597773,1.129895378,1.54495911
1.133862469,-1.255368015,0.035192235,1.709025564
0.041231363,0.024569178,-0.11860532,0.957054316
-0.639086119,0.485533762,-0.11860532,0.560560385
-1.783256429,0.712506171,-0.11860532,0.041016614
-1.133862469,0.511272901,-0.02036657,-0.341805113
0.309235219,-0.59083024,1.290431871,-0.382821726
1.772948589,-1.917565868,2.237177872,-0.27344409
2.174954373,-2.320032407,1.32682214,-0.123049841
0.752472366,-1.227288954,-0.003743855,-0.082033227
-0.773088047,0.031588944,-0.11860532,-0.136722045
-1.278172238,0.293660179,-0.11860532,-0.109377636
-1.247248716,0.384917127,-0.11860532,-0.109377636
-0.639086119,0.354498144,0.089553007,0.451182749
0.958629179,-0.927778971,1.796750794,0.601576999
2.040952445,-2.268554129,2.358628522,1.96879745
2.463573911,-2.521265677,1.674701128,2.638735471
0.360774422,-0.527652353,-0.08715694,0.806660066
-0.505084191,0.838861945,-0.11860532,0.15039425
-0.64939396,0.932458814,-0.11860532,0.013672205
-0.680317482,0.946498345,-0.11860532,-0.164066454
-0.608162597,0.918419284,0.001198034,-0.328132908
0.82462725,-0.548711649,2.360275818,-0.15039425
2.061568126,-1.800569781,3.3152583,1.162137384
0.628778278,-0.427035718,0.44761528,3.923922696
-0.051539203,0.48319384,-0.062747006,5.523570624
-0.432929307,0.838861945,-0.11860532,3.076246016
-0.896782135,0.534672118,-0.11860532,1.681681155
-0.81431941,0.427035718,-0.11860532,1.230498406
-0.711241004,0.562751179,-0.073828817,0.396493931
0.030923522,0.331098927,0.995416113,0.314460704
0.226772494,0.279620648,1.180063032,0.710954635
0.268003856,0.225802448,0.459146352,0.806660066
-0.288619538,0.979257249,-0.024409933,0.779315657
-0.711241004,0.909059597,-0.11860532,1.12112077
-0.762780207,0.880980536,-0.11860532,0.929709907
-0.845242932,0.871620849,-0.11860532,0.082033227
-0.577239075,0.775684058,0.040283878,-0.232427477
0.515392032,-0.354498144,1.360067571,0.068361023
1.102938948,-0.796743353,1.539173584,0.943382111
1.102938948,-0.707826327,0.914099587,1.832075405
0.103078406,0.207083074,-0.091350057,1.886764223
-0.453544988,0.96755764,-0.11860532,1.654336746
-0.432929307,1.021375841,-0.11860532,1.832075405
-0.49477635,1.110292867,-0.11860532,1.873092018
-0.597854757,1.227288954,-0.049119375,1.353548247
0.360774422,0.054988161,1.392114968,0.984398725
1.164785991,-0.763984449,1.779379308,1.558631315
0.907089976,-0.705486405,0.887742849,1.531286906
0.381390103,0.054988161,-0.020067062,1.011743134
-0.16492545,0.675067423,-0.11860532,0.683610226
-0.257696016,0.731225544,-0.11860532,0.382821726
-0.443237147,1.075194041,-0.11860532,0.054688818
-0.556623394,1.234308719,-0.025757721,-0.164066454
0.268003856,0.162624561,1.150261948,0.259771886
0.907089976,-0.649328283,0.960523387,1.435581474
0.907089976,-0.773344136,1.050226148,1.996141859
0.340158741,-0.246861744,-0.029052313,1.996141859
-0.113386247,0.508932979,-0.11860532,2.351619176
-0.680317482,0.965217719,-0.11860532,4.019628127
-0.917397816,1.012016154,-0.11860532,4.607532921
-0.876166454,1.002656467,-0.020516324,1.54495911
-0.123694088,0.017549413,1.416075638,-0.136722045
0.412313625,-0.539351962,0.693361908,-0.095705432
0.546315553,-0.370877596,0.939857308,-0.068361023
0.340158741,-0.1345455,0.004792134,-0.15039425
-0.268003856,0.539351962,-0.11860532,-0.218755272
-0.834935091,0.85992124,-0.11860532,-0.287116295
-1.020476222,0.799083275,-0.11860532,-0.341805113
-0.834935091,0.691446875,-0.070234716,-0.218755272
-0.443237147,0.876300692,0.389660407,0.095705432
-0.030923522,0.420015953,1.057713857,1.066431952
0.432929307,-0.024569178,1.058762137,2.96686838
0.257696016,0.22814237,0.050467163,3.048901607
-0.206156813,0.785043745,-0.11860532,0.970726521
-0.453544988,1.051794823,-0.11860532,0.068361023
-0.525699872,1.185170362,-0.11860532,-0.259771886
-0.566931235,1.231968797,-0.026506492,-0.382821726
0.092770566,0.480853918,1.088563221,-0.355477317
1.30909576,-0.810782884,2.781684114,-0.054688818
0.536007713,-0.370877596,0.741133496,0.546888181
-0.041231363,0.485533762,-0.036540023,0.834004475
-0.546315553,0.873960771,-0.11860532,0.396493931
-0.834935091,0.848221632,-0.11860532,0
-1.175093832,0.810782884,-0.11860532,-0.232427477
-0.752472366,0.696126718,-0.037438548,-0.314460704
0.144309769,0.052648239,0.75416211,-0.054688818
0.546315553,-0.445755092,0.515453928,0.177738659
1.360634963,-1.180490519,0.906462123,0.328132908
0.123694088,-0.050308317,-0.0500179,0.246099681
-0.804011569,0.574450788,-0.11860532,-0.068361023
-0.6597018,0.838861945,-0.11860532,-0.259771886
-0.896782135,0.801423197,-0.11860532,-0.355477317
-1.288480079,0.850561553,0.043428716,-0.341805113
0.371082263,-0.464474466,1.198333043,-0.232427477
1.46371337,-1.217929267,2.437698735,0.492199363
1.484329051,-1.173470754,1.216752809,1.339876042
0.793703729,-0.689106953,0.036839531,1.12112077
-0.216464653,0.288980335,-0.11860532,0.533215976
-0.670009641,0.370877596,-0.11860532,-0.027344409
-0.876166454,0.567431023,-0.11860532,-0.232427477
-1.14417031,1.012016154,0.019617799,-0.232427477
0.742164525,-0.558071336,1.504280857,0.095705432
1.47402121,-1.028395606,2.556304055,1.421909269
1.443097688,-1.194530049,1.460552633,3.103590425
-0.092770566,0.621249223,-0.056008068,3.130934834
-0.288619538,0.904379753,-0.11860532,2.283258154
-0.432929307,1.10093318,-0.11860532,0.533215976
-0.597854757,1.150071536,-0.11860532,-0.095705432
-0.432929307,0.955858032,0.002695575,-0.095705432
0.752472366,-0.670387579,1.944258673,0.041016614
1.133862469,-0.925439049,1.280548095,0.300788499
1.525560413,-1.187510284,1.587693942,0.779315657
0.628778278,-0.68442711,0.010632548,0.834004475
-0.453544988,0.457454701,-0.11860532,0.410166135
-0.453544988,0.609549614,-0.11860532,0.27344409
-0.711241004,0.801423197,-0.11860532,0.232427477
-0.845242932,1.026055684,-0.001647296,0.369149522
0.185541131,0.169644326,1.436591963,0.437510544
0.783395888,-0.333438848,1.310349179,1.203153997
0.855550772,-0.763984449,0.654276064,1.39456486
0.432929307,-0.422355874,-0.011531073,0.875021089
-0.103078406,0.462134544,-0.11860532,0.287116295
-0.515392032,0.878640614,-0.11860532,0.218755272
-0.6597018,1.016695997,-0.11860532,0.437510544
-0.381390103,0.565091101,-0.021714358,0.041016614
0.309235219,0.094766831,1.163290562,0.054688818
0.670009641,-0.024569178,1.298518598,0.792987862
1.113246788,-0.567431023,1.437340734,1.230498406
0.597854757,-0.342798535,0.054510526,1.025415339
-0.061847044,0.455114779,-0.11860532,0.451182749
-0.298927378,0.895020066,-0.11860532,0.054688818
-0.515392032,1.15475138,-0.11860532,0.068361023
