Temperatura ,Humedad,Radiacion,Precipitacion
-0.42410045,0.49246125,-0.249952711,-0.272476339
0.377623689,-0.415212427,1.175442438,-0.365691929
1.609257874,-1.857190466,1.341928877,-0.164919889
0.081334333,-0.419074868,-0.207037396,-0.164919889
-0.406671665,0.876130407,-0.249952711,-0.250965049
-0.360194903,-0.175741074,0.860135324,-0.344180639
0.766866568,-1.392410045,0.820431966,-0.279646769
0,-0.305776593,-0.171527427,-0.286817199
-0.662293854,0.23110273,-0.249952711,-0.337010209
-0.081334333,-0.528510701,0.775999894,-0.150579029
1.423350827,-1.619006594,1.666871862,-0.02151129
-0.029047976,-0.03283075,-0.221312761,0.143408599
-0.854010496,0.810468907,-0.249952711,-0.179260749
-0.406671665,0.471861564,0.447220405,0.03585215
0.95858321,-1.168388456,1.618781728,0.293987629
-0.470577212,0.547822907,-0.221669645,0.02868172
-1.249062971,0.846518358,-0.249952711,-0.150579029
-0.795914544,0.166728711,0.330430079,-0.329839779
0.888868067,-1.264949486,1.681682553,-0.222283329
-0.319527737,-0.056005397,-0.153147895,-0.250965049
-0.685532235,0.353413368,-0.249952711,-0.387203219
-0.168478261,-0.16286627,0.687938739,-0.365691929
1.481446779,-1.697542898,1.88100233,-0.172090319
0.063905547,-0.357275809,-0.168672354,-0.351351069
-0.627436283,-0.050855476,-0.249952711,-0.401544079
-0.447338831,-0.592884721,0.220866656,-0.437396228
1.539542731,-1.791528966,2.324787726,-0.401544079
0.098763119,0.043130593,-0.16742326,-0.401544079
-0.94696402,1.190275623,-0.249952711,-0.430225798
0.447338831,-0.39203778,1.573189783,0.717042997
2.399362823,-2.560154761,3.010718992,1.785437063
0.517053974,-0.900592535,-0.181163298,0.580804828
-0.55772114,1.051227741,-0.249952711,-0.09321559
0.087143928,0.406200064,0.803123087,0.08604516
1.23744378,-1.167100976,1.897597442,0.752895147
-0.185907047,0.59159724,-0.187141107,-0.05019301
-0.40086207,0.610909446,-0.249952711,-0.143408599
0.098763119,0.107504613,1.040451022,-0.301158059
1.190967018,-0.909604897,2.174361072,-0.258135479
-0.01161919,0.107504613,-0.194011126,-0.344180639
-0.27886057,-0.001931221,-0.249952711,-0.337010209
0.244002999,-0.424224789,0.392706356,0.01434086
1.196776614,-1.187700662,1.387610044,0.09321559
0.406671665,-0.596747162,-0.165549618,-0.322669349
-0.429910046,-0.083042485,-0.249952711,-0.401544079
0.162668666,-0.563272672,0.769486759,-0.394373649
1.312968518,-1.423309574,0.703998524,0
-0.029047976,-0.618634329,-0.176523805,0.337010209
-0.528673164,0.869693005,-0.249952711,-0.00717043
0.168478261,0.325088799,0.761902972,0.752895147
1.138680662,-1.252074682,0.483711805,0.810258587
-0.395052474,-0.274877064,-0.16662027,0
-1.411731637,0.515635897,-0.249952711,-0.430225798
-0.005809595,-0.147416505,1.56168027,-0.215112899
2.451649179,-2.75327682,1.897151337,1.240484385
0.732008997,-0.716482839,-0.158322715,1.369552125
-1.295539732,0.619921809,-0.249952711,0.286817199
-0.395052474,-0.083042485,0.64805694,-0.408714508
2.294790109,-2.370895143,2.014744652,-0.236624189
0.058095952,-0.697170633,-0.181520182,-0.143408599
-1.353635684,0.334101162,-0.249952711,-0.143408599
0.249812594,-0.354700848,1.015201471,0.523441388
2.60850825,-2.674740516,2.294363355,2.387753181
-0.01161919,0.13196674,-0.231216295,0.473248378
-0.67972264,0.994578603,-0.249952711,-0.10755645
0.191716642,0.16415375,1.298299794,-0.279646769
1.586019493,-1.264949486,2.133230178,2.63871823
-0.203335832,0.68815827,-0.216673267,4.481518733
-0.894677663,0.489886289,-0.249952711,1.498619864
-0.313718141,0.452549358,0.440439607,0.344180639
0.348575713,0.238827613,0.867986774,0.767236007
-0.493815593,0.999728525,-0.193832684,0.968008046
-0.836581711,0.925054662,-0.249952711,0.501930098
0.034857571,0.192478319,0.725679234,-0.11472688
1.312968518,-0.867118044,1.352992285,1.426915565
-0.127811095,0.607047005,-0.233714484,1.828459643
-0.453148427,1.133626486,-0.249952711,1.914504803
-0.063905547,0.666271103,0.69150758,1.197461806
1.23744378,-0.847805839,1.480399913,1.591835454
0.191716642,0.362425731,-0.191245274,0.860451597
-0.325337332,0.954666711,-0.249952711,0.200772039
