Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.278060976,0.707213276,-0.148436738,-0.146651691,-0.446624121
-0.71328685,0.806269207,-0.148436738,-0.253307467,-0.933850434
-0.616569989,0.879985249,0.118143526,-0.266639439,-0.527828506
1.027616649,-0.615068224,1.752229284,-0.239975495,0.581964763
1.680455461,-1.389086663,0.972062565,-0.146651691,-0.040602193
1.160602333,0.327114936,1.102556401,-0.119987747,-0.581964763
0.157164899,0.760196681,-0.099967599,-0.133319719,-0.717305406
0.012089608,-0.198111862,-0.148436738,-0.213311551,0.040602193
-0.193433722,0.301775046,-0.148436738,-0.226643523,-0.378953799
-0.386867444,0.244184388,-0.148436738,-0.239975495,0.175942835
-0.471494698,0.267220652,0.036584879,-0.27997141,-0.162408771
0.326419406,-0.426170867,1.450112752,-0.27997141,0.947384498
1.208960763,-1.326888753,1.413760897,-0.239975495,0.798509791
1.861799576,-1.780703135,1.857323427,-0.199979579,0.473692249
0.761645281,-0.928361402,-0.050216824,-0.253307467,-0.162408771
0.036268823,0.069108789,-0.148436738,-0.226643523,-0.446624121
-0.628659597,0.677266134,-0.148436738,-0.266639439,-0.013534064
-1.172691941,0.992862938,-0.148436738,-0.226643523,-0.703771342
-0.797914104,0.456118009,-0.040895836,-0.146651691,-0.378953799
0.241792153,-0.400830977,0.387287063,-0.079991832,1.055657012
1.970606045,-1.610234788,2.246940737,-0.039995916,1.218065784
1.607917815,-1.292334358,0.829101907,-0.106655775,0.446624121
0.652838812,-0.668051629,-0.057557103,0.013331972,0.013534064
-0.169254507,0.327114936,-0.148436738,0.119987747,0.040602193
-0.495673913,0.665748003,-0.148436738,-0.106655775,0.027068129
-0.930899788,0.96061217,-0.148436738,-0.253307467,-0.460158185
-0.519853128,0.442296251,0.068392752,-0.27997141,0.554896635
0.906720573,-0.693391518,1.359582653,0.546610849,1.434610812
1.474932131,-1.218618316,1.707255516,0.679930568,1.258667976
1.305677625,-1.112651506,1.529807201,0.106655775,1.339872362
0.338509014,-0.354758451,-0.103113433,0.026663944,-0.270681285
-0.483584305,0.824698218,-0.148436738,-0.039995916,-0.324817542
-0.87045175,1.269298095,-0.148203714,-0.053327888,-0.203010964
-1.414484093,1.292334358,-0.148203714,-0.186647607,-0.419555992
-1.07597508,0.962915796,-0.018758489,-0.27997141,-0.203010964
0.036268823,0.048376152,0.955284786,-0.226643523,0.676703213
1.07597508,-0.850038107,1.483901334,-0.186647607,0.73083947
1.184781548,-1.082704364,1.313443761,-0.186647607,0.446624121
0.652838812,-0.928361402,0.079111888,-0.213311551,-0.121806578
-0.25388176,-0.142824831,-0.148436738,-0.213311551,-0.297749414
-0.616569989,0.608157345,-0.148436738,-0.253307467,-0.203010964
-0.834182927,0.730249539,-0.148436738,-0.27997141,-0.027068129
-0.967168611,0.709516902,0.074917443,-0.306635354,0.013534064
1.245229586,-1.161027658,2.258591972,-0.266639439,0.852646049
2.04314369,-1.928135219,2.411223156,-0.146651691,0.947384498
2.212398197,-2.204570375,2.096290264,-0.039995916,1.231599848
0.628659597,-0.958308543,0.021671298,-0.239975495,0.460158185
0.169254507,-0.407741856,-0.148320226,-0.34663127,0.798509791
-0.616569989,0.879985249,-0.148320226,-0.34663127,0.257147221
-1.07597508,0.919146896,-0.148436738,-0.34663127,0.54136257
-1.281498409,0.359365704,0.078762351,-0.333299298,0.487226313
0.822093319,-1.117258759,1.788814163,-0.333299298,1.136861398
1.910158006,-1.854419177,2.730350492,-0.306635354,1.272202041
1.777172322,-1.757666872,1.856274816,-0.306635354,1.407542683
0.45940509,-0.670355255,-0.08913195,-0.306635354,0.554896635
0.096716861,-0.313293178,-0.148436738,-0.306635354,0.135340643
-0.398957052,0.340936693,-0.148436738,-0.333299298,-0.297749414
-0.640749205,0.827001844,-0.148436738,-0.34663127,0.067670321
-0.616569989,0.619675476,-0.02376852,-0.039995916,0.568430699
0.71328685,-1.271601721,0.39357873,1.906471985,1.664689904
1.716724284,-1.849811924,1.235963046,2.373091003,0.027068129
1.716724284,-1.829079287,0.932331853,1.786484238,0.135340643
0.846272534,-1.064275354,0.043109571,0.799918316,-0.378953799
0.314329799,-0.42386724,-0.148436738,0.373295214,-0.203010964
0.108806469,-0.207326368,-0.148436738,-0.039995916,0.338351607
-0.45940509,0.995166564,-0.148436738,-0.253307467,-0.433090056
-0.314329799,0.439992625,-0.021321761,-0.173315635,0.419555992
0.652838812,-0.041465274,1.316822619,0.573274793,1.136861398
1.462842524,-0.799358328,2.241814194,0.866578175,0.974452627
1.208960763,-0.755589429,1.454190684,0.319967326,0.987986691
0.217612937,0.082930547,-0.0301767,0.013331972,-0.013534064
-0.120896076,0.135913952,-0.148436738,-0.159983663,-0.135340643
-0.217612937,0.310989551,-0.148436738,-0.119987747,0.419555992
-0.181344115,-0.050679779,-0.148436738,0.079991832,0.311283478
-0.25388176,0.340936693,-0.063149696,-0.173315635,0.067670321
0.737466066,-0.380098341,1.256236195,-0.199979579,0.852646049
1.910158006,-1.402908421,3.178107466,-0.159983663,1.975973382
1.450752916,-1.015899201,1.556605043,-0.159983663,1.353406426
0.350598621,-0.124395821,0.097404328,-0.226643523,0.257147221
-0.036268823,0.126699447,-0.148436738,-0.266639439,0.879714177
-0.084627253,-0.029947142,-0.148436738,-0.266639439,1.272202041
-0.447315482,0.27413153,-0.148320226,-0.199979579,0.933850434
-0.628659597,0.859252612,0.065013893,0.226643523,1.136861398
1.07597508,-0.91684327,1.608103503,0.213311551,3.085766652
