Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.635468096,0.856204105,-0.237876529,-0.22596171,-0.785076457
0.15292013,0.175760373,1.017547307,-0.282452138,-0.014538453
1.519006625,-0.54736802,1.135861268,-0.155348676,-0.377999776
0.016991126,0.337711003,-0.209799742,-0.197716496,-0.407076682
-0.404388788,0.328922984,-0.237876529,-0.261268227,-0.152653756
-0.15971658,-0.055238974,0.795295241,-0.310697351,0.377999776
1.648139179,-1.66219096,1.828939456,-0.24714562,0.639691928
0.370406537,-0.436890071,-0.18098054,-0.268329531,-0.370730549
-1.090830261,0.941573429,-0.237876529,-0.275390834,-0.428884361
-0.390795888,0.061516131,0.13474833,-0.134164765,0.319845964
1.933590088,-1.550457579,1.715957385,-0.091796945,0.850499495
0.193698831,-0.154418042,-0.185232553,0.056490428,-0.014538453
-0.880140304,0.917720235,-0.237876529,-0.2047778,-0.276230605
0.13932723,-0.105456224,0.761279133,0.127103462,1.02496093
1.485024374,-1.239110632,1.809231711,0.402494296,1.352076121
-0.15971658,0.287493754,-0.211622033,-0.02118391,-0.363461323
-1.36268827,1.427425318,-0.23760656,-0.141226069,-0.377999776
-0.662653897,0.582520095,0.476596711,-0.282452138,0.210807567
1.192777014,-1.021921028,1.55451586,-0.211839103,0.588807343
0.14612368,-0.552389745,-0.106064113,-0.240084317,-0.268961379
-0.893733204,0.76079133,-0.237876529,-0.296574744,-0.167192209
0.078159178,-0.214678742,1.285829107,-0.317758655,0.421615135
2.314191301,-2.220857861,2.545167495,-0.112980855,1.126730101
0.370406537,-0.713084943,-0.139270313,-0.324819958,0.632422702
-1.029662209,1.011877578,-0.237809036,-0.381310386,0.385269002
-0.336424286,-0.381651096,1.015927493,-0.367187779,0.828691816
1.99475814,-1.937130401,2.590994751,-0.338942565,1.39569148
0.234477533,-0.504683358,-0.20352296,-0.338942565,0.327115191
-0.662653897,0.667889419,-0.237876529,-0.374249082,-0.167192209
-0.023787576,-0.323901259,0.148314278,0.974459875,1.155807007
1.852032686,-1.973537907,1.190125059,2.189004066,0.043615359
0.574300044,-0.779622799,-0.126919226,0.607272096,-0.356192096
-0.275256234,0.460743264,-0.237876529,-0.169471283,-0.094499944
