Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.265616311,0.477952737,-0.127539025,-0.164066454,-0.058236608
-0.501719699,0.557901195,-0.127539025,-0.300788499,0.116473215
-0.309885696,0.484904777,0.293247697,-0.328132908,-0.407656253
1.032952321,-1.805792341,2.143944468,-0.314460704,0.135885418
1.918340026,-1.8509806,3.384918302,-0.191410863,1.164732152
1.992122334,-2.003925476,1.927390143,-0.068361023,1.087083342
0.472206776,-1.225297017,0.060547399,-0.095705432,0.310595241
0.014756462,0.547473135,-0.127397394,-0.164066454,-0.15529762
-0.206590464,0.630897613,-0.127539025,-0.191410863,0.116473215
-0.457450314,0.693465971,-0.127539025,-0.232427477,0.543541671
-1.077221707,0.620469553,0.005311175,-0.287116295,1.320029773
-0.486963237,-0.168586965,1.321632885,-0.314460704,1.708273823
0.103295232,-0.443192538,1.967330182,-0.27344409,1.475327393
0.988682936,-1.214868957,2.1558415,-0.205083068,1.475327393
0.265616311,-0.630897613,-0.038169647,-0.246099681,0.097061013
0.014756462,-0.185967065,-0.127539025,-0.246099681,-0.427068456
-0.221346926,0.022594129,-0.127397394,-0.314460704,-0.388244051
-0.693553702,0.335435921,-0.127539025,-0.27344409,0.291183038
-0.796848934,0.179015025,0.146092731,-0.164066454,0.931785722
0.221346926,-0.787318509,1.65729917,-0.068361023,0.795900304
1.077221707,-1.214868957,1.677552452,0.068361023,0.465892861
0.649284316,-0.471000697,0.788249244,-0.054688818,1.06767114
-0.029512923,0.283295622,-0.058281298,0.082033227,0.912373519
-0.280372773,0.543997115,-0.127539025,0.246099681,0.504717266
-0.575502008,0.603089454,-0.127397394,-0.054688818,0.407656253
-0.605014931,0.35281602,-0.127539025,-0.232427477,0.019412203
-0.324642158,0.307627762,0.001203866,-0.259771886,0.388244051
0.044269385,0.537045075,0.81416778,0.382821726,1.37826638
0.42793739,0.137302786,1.981493316,0.505871567,1.358854178
0.841118319,-0.693465971,1.154932793,0.109377636,0.757075899
-0.280372773,0.561377215,-0.030521555,0.082033227,1.630625013
-0.221346926,0.179015025,-0.127539025,0.027344409,0.543541671
-0.870631242,0.505760896,-0.127255762,-0.041016614,1.087083342
-0.914900628,0.665657812,-0.127539025,-0.191410863,0.310595241
-0.76733601,0.248535423,-0.030096661,-0.300788499,0.330007443
-0.575502008,0.571805275,0.939794782,-0.27344409,0.834724709
0.649284316,-0.234631344,3.091174895,-0.218755272,1.184144355
0.723066625,-0.717798111,1.313135005,-0.15039425,0.912373519
0.029512923,-0.415384379,0.001912023,-0.177738659,0.097061013
-0.486963237,0.248535423,-0.127539025,-0.246099681,0.601778279
-0.516476161,0.227679304,-0.127539025,-0.328132908,0.310595241
-0.545989084,0.095590547,-0.127539025,-0.355477317,-0.679427089
-0.280372773,-0.241583383,0.157281607,-0.328132908,-0.504717266
0.014756462,-0.189443085,0.822665661,-0.314460704,0.15529762
1.151004015,-0.919407265,3.181394061,-0.191410863,1.125907747
1.711749561,-1.784936222,2.011519161,-0.082033227,1.611212811
0.147564617,-0.453620598,-0.03420397,-0.259771886,1.164732152
-0.265616311,0.262439503,-0.127539025,-0.355477317,0.349419646
-0.693553702,-0.151206866,-0.127539025,-0.355477317,1.14531995
-1.298568633,-0.509236916,-0.127539025,-0.355477317,0.951197924
-0.944413551,-0.394528259,0.024148144,-0.382821726,1.14531995
-0.398424467,-0.126874727,0.934979316,-0.396493931,0.698839291
1.254299247,-1.364337813,3.497798483,-0.355477317,1.087083342
1.711749561,-1.83012448,2.29704795,-0.355477317,0.757075899
0.280372773,-0.109494627,-0.042418587,-0.355477317,-0.174709823
-0.177077541,0.696941991,-0.127539025,-0.355477317,-0.019412203
-0.280372773,0.641325673,-0.127539025,-0.369149522,-0.097061013
-0.295129235,0.241583383,-0.127539025,-0.396493931,-0.465892861
-0.103295232,-0.095590547,0.168328852,-0.041016614,-0.698839291
0.737823087,-0.630897613,1.30322081,1.462925883,0.23294643
1.888827102,-1.708463784,3.582494027,1.927780837,0.815312507
1.623210791,-1.371289853,2.170996054,1.531286906,0.892961317
0.368911543,-0.217251244,0.019615941,0.683610226,-0.504717266
0.059025847,0.144254826,-0.127539025,0.478527158,-0.795900304
-0.103295232,0.502284876,-0.127539025,0.095705432,0.058236608
-0.191834003,0.696941991,-0.127255762,-0.218755272,1.028846735
-0.280372773,0.696941991,0.040010855,-0.232427477,2.115930077
-0.073782309,0.696941991,0.977185457,0.451182749,1.844159241
0.634527855,0.328483881,2.551559475,1.025415339,1.747098229
0.486963237,0.391052239,1.361714555,0.464854953,2.038281267
-0.132808156,0.672609852,-0.055165408,0.109377636,1.45591519
-0.221346926,0.696941991,-0.127539025,-0.15039425,0.99002233
-0.265616311,0.696941991,-0.127397394,-0.15039425,0.485305063
-0.354155082,0.696941991,-0.127539025,-0.068361023,0.213534228
-0.398424467,0.693465971,0.004461387,-0.27344409,0.368831848
0.280372773,0.519664976,1.18623332,-0.246099681,0.427068456
0.841118319,-0.043450249,2.003871069,-0.218755272,0.504717266
0.545989084,0.241583383,1.289199307,-0.218755272,1.747098229
-0.162321079,0.696941991,-0.049216892,-0.287116295,1.747098229
-0.354155082,0.696941991,-0.127255762,-0.314460704,1.475327393
-0.590258469,0.696941991,-0.127255762,-0.314460704,0.349419646
-0.605014931,0.696941991,-0.127539025,-0.27344409,0.582366076
-0.501719699,0.696941991,-0.033070919,0.041016614,0.873549114
-0.073782309,0.696941991,0.498754777,0.041016614,1.37826638
0.368911543,0.519664976,0.873511313,0.15039425,1.475327393
0.664040778,-0.158158906,1.255349416,0.082033227,0.368831848
0.191834003,0.168586965,-0.048225473,-0.218755272,0.07764881
-0.044269385,0.578757314,-0.127539025,-0.341805113,0.097061013
-0.324642158,0.304151742,-0.127539025,-0.355477317,0.058236608
-0.442693852,-0.071258408,-0.127539025,-0.355477317,-0.23294643
