Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.489083583,0.577936208,-0.245324229,-0.272476339,0.063244037
0.32740306,-0.682001892,1.26826495,-0.365691929,-0.115947401
2.073552711,-2.036714098,2.884649838,-0.164919889,1.254340061
0.198058641,-0.338213472,-0.139502775,-0.164919889,0.115947401
-0.4324954,0.732176418,-0.245324229,-0.250965049,0.390004893
-0.925620996,0.265739157,0.644085584,-0.344180639,1.675966972
0.529503714,-0.862258523,2.216119418,-0.279646769,1.633804281
0.084882275,-0.412546104,-0.195080935,-0.286817199,-0.147569419
-0.569923845,0.215564631,-0.245244604,-0.337010209,-0.021081346
-0.383991243,-0.301047157,0.911943651,-0.150579029,0.969741896
0.877116839,-0.877125049,1.284349174,-0.02151129,0.864335168
-0.238478772,0.466437261,-0.206387666,0.143408599,0.801091131
-0.715436316,0.535194945,-0.245244604,-0.179260749,0.263516819
-0.22231072,0.47572884,0.356480549,0.03585215,0.990823241
0.626512028,-0.27317242,1.66137294,0.293987629,1.180555351
-0.343571112,0.419979367,-0.190781192,0.02868172,1.21217737
-1.046881388,0.650410524,-0.245164979,-0.150579029,0.790550458
-0.804360603,0.46272063,0.409510713,-0.329839779,0.664062385
0.683100211,-0.485020419,2.374174788,-0.222283329,1.170014678
-0.319319034,-0.065041052,-0.172547096,-0.250965049,0.411086238
-0.650764106,0.196981473,-0.245324229,-0.387203219,-0.168650764
-0.214226693,-0.206273052,0.449004649,-0.365691929,-0.158110092
1.499586854,-1.421611574,2.817526071,-0.172090319,1.51785688
-0.133386432,-0.078049263,-0.192851438,-0.351351069,0.853794495
-1.160057755,-0.328921894,-0.245324229,-0.401544079,1.170014678
-0.804360603,-0.254589262,0.437299793,-0.437396228,1.032985932
1.556175037,-1.683634099,3.155931774,-0.401544079,1.032985932
-0.012126039,0.338213472,-0.197469681,-0.401544079,-0.073784709
-0.383991243,0.496170314,-0.245324229,-0.430225798,-0.274057492
0.278898903,-0.364229893,0.725382578,0.717042997,-0.221354128
1.855284005,-1.622309678,3.132681312,1.785437063,0.959201223
0.165722536,-0.014866526,-0.162593987,0.580804828,-0.674603058
-0.230394746,0.66527705,-0.245164979,-0.09321559,0.621899694
-0.26273085,0.769342734,0.46994599,0.08604516,2.181919265
0.545671766,0.408829472,2.098115359,0.752895147,2.08705321
-0.26273085,0.756334524,-0.204635919,-0.05019301,1.359746789
-0.408243321,0.769342734,-0.245244604,-0.143408599,0.411086238
-0.133386432,0.672710313,0.567486458,-0.301158059,0.463789602
0.691184237,0.130082105,1.749438048,-0.258135479,1.254340061
-0.351655138,0.769342734,-0.201132425,-0.344180639,1.7813737
-0.723520342,0.769342734,-0.245164979,-0.337010209,0.537574312
-0.383991243,0.769342734,0.159886742,0.01434086,1.254340061
0.497167609,0.217422947,1.094921605,0.09321559,1.032985932
0.012126039,0.423695998,-0.200734301,-0.322669349,0.126488073
-0.489083583,0.148665263,-0.245324229,-0.401544079,-0.063244037
0.076798249,-0.052032842,0.767902259,-0.394373649,0.769469113
1.224729964,-0.760051155,2.15632114,0,1.992187155
-0.084882275,-0.301047157,-0.138388026,0.337010209,0.200272783
-0.278898903,0.761909471,-0.245324229,-0.00717043,-0.073784709
0.05254617,0.405112841,0.618207501,0.752895147,0.021081346
1.410662566,-0.947741049,2.485569983,0.810258587,1.7813737
-0.472915531,-0.663418734,-0.161956988,0,-0.980282568
-0.957957101,0.22485621,-0.245324229,-0.430225798,-0.200272783
0.15763851,-0.611385892,1.549977745,-0.215112899,0.179191437
2.809199092,-3.25205262,3.543864147,1.240484385,0.337301529
0.206142667,0.384671367,-0.146589388,1.369552125,0.632440367
-1.046881388,0.059466105,-0.245324229,0.286817199,-0.853794495
-0.359739164,0.217422947,0.596549536,-0.408714508,0.052703364
2.469669993,-2.45855178,2.723966847,-0.236624189,1.02244526
0.101050327,-0.713593261,-0.072777132,-0.143408599,0
-0.763940473,0.479445472,-0.245324229,-0.143408599,-0.463789602
0.198058641,-0.031591368,0.702769114,0.523441388,-0.052703364
2.776862988,-2.711282727,2.766884653,2.387753181,0.537574312
0.311235007,-0.143090315,-0.19778818,0.473248378,-1.581100917
-0.392075269,0.42741263,-0.245324229,-0.10755645,-1.749751681
0.400159295,-0.312197051,1.137520912,-0.279646769,-1.275421406
1.766359717,-1.770974941,1.936158371,2.63871823,-1.254340061
-0.448663452,0.219281262,-0.232982373,4.481518733,-2.308407339
-1.071133467,0.408829472,-0.245324229,1.498619864,-1.907861773
-0.303150981,0.514753472,0.411899459,0.344180639,-0.632440367
0.650764106,-0.553778103,1.029310711,0.767236007,-0.579737003
-0.375907217,-0.007433263,-0.1853667,0.968008046,-2.329488684
-0.763940473,0.587227787,-0.245324229,0.501930098,-2.329488684
0.206142667,-0.046457895,1.051127926,-0.11472688,-1.697048317
1.33790633,-0.778634313,1.121197813,1.426915565,-0.895957186
0.101050327,0.436704209,-0.234495246,1.828459643,-1.21217737
-0.472915531,0.642977261,-0.245324229,1.914504803,-0.579737003
0.149554484,0.039024631,1.059408913,1.197461806,0.052703364
1.321738278,-0.810225681,1.671087174,1.591835454,1.064607951
0.092966301,0.165390105,-0.185764825,0.860451597,-0.548114985
-0.400159295,0.516611788,-0.245324229,0.200772039,-0.390004893
0.020210065,0.358654946,0.411103211,0.02151129,-0.959201223
1.265150095,-0.832525471,1.446226538,1.771096203,1.096229969
0.117218379,-0.555636419,-0.162753237,2.251515012,-0.210813456
-0.634596054,0.62996905,-0.245324229,4.495859593,-0.548114985
-0.893284891,0.198839789,0.714553595,0.709872567,1.117311315
0.74777242,-0.944024418,1.420666954,-0.11472688,0.727306422
0.141470458,-0.297330525,-0.153277877,-0.222283329,-0.042162691
-1.046881388,0.23786442,-0.245324229,-0.358521499,-1.633804281
-0.343571112,0.466437261,0.284658915,-0.09321559,-2.192459938
0.561839818,-0.330780209,1.153366261,2.086595122,-1.538938226
0.165722536,0.416262735,-0.146907888,2.079424692,-1.307043425
-0.569923845,0.624394103,-0.245324229,-0.12906774,-1.549478899
0.230394746,0.057607789,1.054312921,-0.415884938,-1.127851987
2.105888816,-1.858315783,2.725559345,0.229453759,-0.242435474
-0.214226693,-0.213706315,-0.216659275,0.616656978,-1.433531498
-0.739688394,0.622535787,-0.245244604,-0.150579029,-1.264880734
-0.101050327,0.538911577,0.624577491,-0.222283329,-0.231894801
1.588511141,-1.337987364,1.845386017,0.236624189,0.737847095
-0.286982929,-0.11893221,-0.042997431,0.06453387,-0.411086238
-0.893284891,0.314055367,-0.245324229,-0.351351069,-0.463789602
-0.173806563,-0.042741263,0.725701077,-0.329839779,-0.316220183
2.493922072,-2.163079571,3.376890792,0.932155897,1.117311315
-0.238478772,-0.247155999,-0.160205241,0.838940307,-0.105406728
-0.85286476,0.262022525,-0.245324229,-0.164919889,-1.159474006
0.553755792,-0.494311998,1.192382448,-0.10038602,-0.885416513
2.162476999,-1.659475994,1.902078926,2.344730601,-0.474330275
0.133386432,0.485020419,-0.230195503,2.81080855,-1.486234862
-0.408243321,0.739609681,-0.245324229,0.200772039,-0.527033639
0.464831504,-0.737751366,0.962983194,-0.05736344,-0.505952293
1.620847246,-1.300821048,1.375440027,0.537782248,1.043526605
-0.15763851,0.26016421,-0.116411562,0.623827408,0.147569419
-0.683100211,0.696868418,-0.245005729,0.236624189,-0.368923547
0.246562798,-0.419979367,0.617889001,0.394373649,-0.274057492
0.561839818,0.206273052,0.869981344,1.333699975,1.180555351
-0.020210065,0.399537893,-0.192771813,0.580804828,0.316220183
-0.214226693,0.455287367,-0.245324229,0.315498919,-0.168650764
0.060630196,0.325205262,0.599734531,0.02151129,0.474330275
1.192393859,-0.349363367,1.597115669,1.032541916,0.748387767
0.133386432,0.395821262,-0.140219398,0.745724717,0.495411621
-0.270814877,0.633685682,-0.245244604,0.03585215,-0.326760856
-0.214226693,0.585369472,0.695682501,0.04302258,1.928943119
1.006461258,-0.468295577,1.505945191,0.552123108,1.475694189
-0.092966301,0.432987577,-0.201849049,0.11472688,0.400545566
-0.408243321,0.730318103,-0.245324229,0.12906774,-0.063244037
0.109134353,0.445995788,0.718932963,0.08604516,1.264880734
1.143889702,-0.516611788,2.21205855,1.498619864,2.445436085
-0.335487086,-0.059466105,-0.002707246,0.293987629,1.496775535
-0.618428002,0.624394103,-0.245324229,0.781576867,0.221354128
-0.238478772,0.512895156,0.374077645,0.322669349,0.432167584
0.650764106,-0.27317242,2.493134346,0.910644607,2.097593883
-0.343571112,-0.195123157,-0.013058479,0.702702137,0.695684403
-0.53758774,0.611385892,-0.245164979,0.394373649,0.105406728
-0.26273085,0.734034734,0.220640518,0.172090319,0.063244037
1.499586854,-0.743326313,2.882659216,0.200772039,0.695684403
0.109134353,0.459003998,-0.158771993,-0.02151129,-0.231894801
-0.723520342,0.68757684,-0.245244604,-0.05019301,-0.210813456
-0.020210065,0.451570735,0.496142573,0.265305909,-0.295138838
1.370242435,-0.317771999,2.211182676,0.0717043,2.055431192
0.060630196,0.436704209,-0.152083504,0.02151129,0.052703364
-0.383991243,0.754476208,-0.245244604,-0.08604516,0.885416513
0.012126039,0.301047157,0.675696658,-0.215112899,0.495411621
1.758275691,-1.133572627,3.069857288,0.179260749,1.760292354
-0.561839818,-0.031591368,-0.052950539,0.415884938,0.316220183
-0.683100211,0.163531789,-0.245324229,-0.136238169,-0.716765749
0.246562798,-0.891991576,1.442802668,0.265305909,-1.444072171
2.243317261,-2.116621676,2.31716338,2.67457038,0.727306422
0.295066955,-0.828808839,-0.171511973,3.563703697,-2.16083792
-0.246562798,0.152381894,-0.245324229,0.523441388,-2.203000611
0.012126039,0.388387999,0.244448355,-0.172090319,-2.076512538
2.130140894,-2.254137044,2.180208601,1.498619864,-1.32812477
0.569923845,-0.721026524,-0.140617523,2.394923611,-2.044890519
-0.109134353,0.564927998,-0.245324229,1.814118783,-2.234622629
0.149554484,0.243439368,0.642015337,0.630997838,-1.70758899
1.50767088,-1.124281049,1.283393676,2.394923611,-1.570560244
0.53758774,0.479445472,-0.170636099,5.980138598,-2.097593883
-0.303150981,0.732176418,-0.245324229,1.943186523,-2.297866666
0.198058641,-0.32148863,0.768459633,0,-2.076512538
2.283737392,-1.852740835,1.703574122,2.136788132,-0.895957186
0.594175923,0.009291579,-0.206069167,1.520131154,-1.675966972
-0.26273085,-0.128223789,-0.245324229,0.552123108,-2.35057003
0.359739164,-0.782350944,1.442086044,-0.04302258,-1.412450152
2.987047668,-2.588633885,3.410333238,-0.06453387,0.463789602
0.561839818,-0.282463999,-0.163310611,-0.01434086,-0.400545566
-0.254646824,0.49802863,-0.245324229,-0.200772039,-0.579737003
0.230394746,-0.070616,0.29373615,-0.387203219,-0.347842202
1.709771534,-1.339845679,2.37274154,-0.265305909,1.191096024
0.335487086,0.020441474,-0.125886922,-0.229453759,0.45324893
0.004042013,0.332638525,-0.245324229,-0.229453759,0.442708257
