Dia,Mes,Hora,S4_T,S4_Tmax,S4_Tmin,S4_DTR,S4_Hum,S4_Rad,S4_Pre,S4_V,S7_T,S7_Tmax,S7_Tmin,S7_DTR,S7_Hum,S7_Rad,S7_Pre,S8_T,S8_Tmax,S8_Tmin ,S8_DTR,S8_Hum,S8_Rad,S8_Pre,S8_V,S9_T,S9_Tmax,S9_Tmin ,S9_DTR,S9_Hum,S9_Rad,S9_Pre,S9_V,S6_T,S6_Tmax,S6_Tmin ,S6_DTR,S6_Hum,S6_Rad,S6_Pre,S6_V,S2_T,S2_Tmax,S2_Tmin ,S2_DTR,S2_Hum,S2_Rad,S2_Pre,S2_V,S3_T,S3_Tmax,S3_Tmin ,S3_DTR,S3_Hum,S3_Rad ,S3_Pre,S3_V,S5_T ,S5_Tmax,S5_Tmin,S5_DTR,S5_Hum,S5_Rad,S5_Pre,S5_V
1,1,0,12.2,12.6,11.6,1,83.2,0,0.07,1.4,9.7,10,9.4,0.6,84.9,0,0.07,7.8,8.1,7.5,0.6,88.2,0,0.06,2,6.3,6.4,6.3,0.1,98.1,0,0.07,3.5,10.419,10.744,10.226,0.518,86.201,0,0.06,0.336,11.5,11.6,11.4,0.2,95.251,0,0.07,0.367,11.595,11.755,11.42,0.335,92.063,0,0.07,1.883,11.969,12.216,11.824,0.392,89.092,0,0.07,0.773
1,1,1,11.7,12,11.6,0.4,86.1,0,0.06,1.4,9.5,9.7,9.2,0.5,85.1,0,0.06,7.4,7.5,7,0.5,93.6,0,0.05,3.1,6.2,6.4,6,0.4,97.5,0,0.06,5.3,10.082,10.275,9.902,0.373,90.999,0,0.05,0.719,11.3,11.5,11.2,0.3,94.175,0,0.06,0.281,11.378,11.492,11.308,0.184,92.523,0,0.06,1.719,11.941,12.152,11.759,0.393,87.096,0,0.06,1.477
1,1,2,11.5,11.9,11.1,0.8,86.2,0,0.04,1.7,8.9,9.4,8.5,0.9,85.7,0,0.04,7.1,7.9,6.6,1.3,91.5,0,0.04,4.7,5.8,6,5.6,0.4,97.8,0,0.04,4.8,9.897,9.989,9.739,0.25,91.363,0,0.04,0.984,11.2,11.3,11,0.3,94.355,0,0.04,0.391,11.587,11.767,11.324,0.443,88.685,0,0.04,1.844,11.568,11.807,11.118,0.689,89.483,0,0.04,0.977
1,1,3,11.1,11.2,11,0.2,87,0,0.03,1.5,8.1,8.5,7.8,0.7,89.7,0,0.03,6.5,6.7,6.1,0.6,93.7,0,0.03,2.6,5.5,5.9,4.9,1,96.4,0,0.03,5.2,9.69,9.996,9.461,0.535,90.621,0,0.03,0.992,10.9,11,10.8,0.2,96.697,0,0.03,0.156,10.77,11.604,10.115,1.489,93.149,0,0.03,0.508,10.685,11.218,9.584,1.634,91.626,0,0.03,0.844
1,1,4,10.8,11.1,10.6,0.5,87.7,0,0.02,1.2,8.4,8.5,8.1,0.4,90.6,0,0.02,6,6.6,5.5,1.1,93,0,0.02,1.6,5.5,5.7,5.2,0.5,99.5,0,0.02,5.5,9.491,10.005,9.026,0.979,87.057,0,0.02,1.258,10.7,10.8,10.6,0.2,96.827,0,0.02,0.5,10.153,10.492,9.788,0.704,95.043,0,0.02,0.039,10.102,10.936,9.562,1.374,92.798,0,0.02,0.969
1,1,5,10.7,10.8,10.6,0.2,90.3,0,0.02,0.3,8.5,8.7,8.4,0.3,90.2,0,0.02,6.2,6.6,5.4,1.2,90.9,0,0.02,2,5.7,5.7,5.5,0.2,99.8,0,0.02,3.8,9.247,9.449,9.004,0.445,90.749,0,0.02,1.812,10.7,10.8,10.6,0.2,95.513,0,0.02,0.188,10.567,10.721,10.475,0.246,94.874,0,0.02,0.141,10.971,11.128,10.874,0.254,90.117,0,0.02,1.156
1,1,6,10.9,11.1,10.8,0.3,88.3,0,0.01,0.5,8.4,8.5,8.3,0.2,92.4,0,0.01,6.3,6.5,6.2,0.3,93,0,0.02,2,5.5,5.6,5.4,0.2,99.9,0,0.01,3.3,8.983,9.178,8.899,0.279,94.042,0,0.02,0.352,10.6,10.8,10.5,0.3,96.345,0,0.01,0.219,10.539,10.632,10.472,0.16,94.936,0,0.01,0.195,11.059,11.165,10.904,0.261,90.272,0,0.01,0.25
1,1,7,10.9,11.1,10.8,0.3,88.4,28.6,0.02,1.3,8.8,9.1,8.5,0.6,88,11.8,0.02,6.2,7.2,5.7,1.5,93,37.8,0.02,2.1,5.7,6.2,5.5,0.7,99.9,48.8,0.02,3.9,9.017,9.422,8.861,0.561,94.734,28.827,0.02,0.508,10.6,10.8,10.5,0.3,96.018,13.262,0.02,0.828,10.622,10.894,10.44,0.454,94.691,38.112,0.02,1.617,10.824,11.13,10.622,0.508,93.725,30.97,0.02,0.156
1,1,8,11.4,12.3,10.9,1.4,87.4,140.1,0.02,0.7,9.8,10.6,9,1.6,80.4,106.6,0.02,7,8.2,6.5,1.7,94.8,191,0.02,5.1,6.8,8.1,6,2.1,93.8,248.3,0.02,4.6,10.25,11.426,9.423,2.003,88.153,229.74,0.02,1.883,11.2,12.6,10.7,1.9,94.624,108.594,0.02,0.648,11.104,11.843,10.808,1.035,93.324,147.704,0.02,1.383,11.428,11.811,11.092,0.719,91.813,110.33,0.02,0.664
1,1,9,13.7,15.3,12.1,3.2,74,323.5,0.02,1.1,11.8,14.1,10.6,3.5,70.4,339.5,0.02,9,10.3,8,2.3,84.1,553.9,0.02,6.9,8.8,9.9,8,1.9,77.8,642.4,0.02,4.4,11.096,11.438,10.805,0.633,80.78,227.566,0.02,3.383,13.1,15.3,12.1,3.2,84.306,389.69,0.02,0.891,12.912,15.187,11.915,3.272,83.736,324.111,0.02,0.406,12.91,14.923,11.789,3.134,83.895,367.75,0.02,0.594
