Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.459651686,0.590547139,-0.092268172,-0.272476339,-0.185911212
0.07793178,-0.040548668,0.982713845,-0.365691929,-0.084052014
1.912812055,-2.019974787,2.52871826,-0.164919889,2.53359446
0.415474141,-0.430769709,-0.001361524,-0.164919889,0.534298525
-0.536665351,0.682826935,-0.092268172,-0.250965049,-0.037394655
-0.233795341,-0.920554933,0.885108538,-0.344180639,1.967747503
1.243344038,-1.759097899,3.121194939,-0.279646769,3.03771879
0.129940307,-0.667016875,-0.025481393,-0.286817199,0.660104753
-0.645921062,-0.071711473,-0.092268172,-0.337010209,0.282348787
-0.286127909,-0.548539416,0.995401737,-0.150579029,0.50371828
1.462719569,-1.70430711,2.251859767,-0.02151129,2.634554239
0.074313326,-0.555181384,-0.014712577,0.143408599,1.436528176
-0.700143867,0.058329542,-0.092268172,-0.179260749,-0.029412312
-0.637658025,0.258492313,0.752875384,0.03585215,-0.316664244
0.747831852,-1.209034096,1.551444143,0.293987629,2.056677553
-0.599259206,0.299585404,-0.060182999,0.02868172,0.345645397
-1.128633642,-0.0585582,-0.092268172,-0.150579029,-0.300024993
-0.894568267,-0.031500348,0.681917868,-0.329839779,-0.366694424
0.875611888,-1.476661837,1.989791969,-0.222283329,2.2462301
-0.030081775,-0.605725669,-0.052086941,-0.250965049,0.361497656
-0.790119159,0.230291172,-0.092268172,-0.387203219,-0.110360019
-0.327713128,-0.261345093,1.134225594,-0.365691929,0.094370223
1.485456423,-1.776802553,1.984245961,-0.172090319,2.550908275
-0.010693342,-0.280073263,-0.034348568,-0.351351069,0.899012916
-0.527484199,-0.568095111,-0.092268172,-0.401544079,0.173406665
-0.423737178,-0.679832605,0.704032163,-0.437396228,0.208596432
1.380359233,-1.722490858,1.880489152,-0.401544079,1.981913351
-0.054330818,0.059505497,-0.039917374,-0.401544079,0.429853498
-0.816096419,0.889882109,-0.092268172,-0.430225798,-0.240326059
-0.141875805,0.17602303,1.381253929,0.717042997,-0.01625831
2.106966421,-2.150941322,2.970503926,1.785437063,2.728543521
0.296227176,-0.463859774,-0.031091102,0.580804828,0.598382127
-0.659422757,1.070020981,-0.092268172,-0.09321559,-0.03548339
-0.406887064,0.904472661,0.623474576,0.08604516,0.097743044
0.841263577,-0.844096086,1.576979515,0.752895147,1.952120098
-0.357740896,0.539371323,-0.036439972,-0.05019301,0.085488461
-0.803242806,1.194585095,-0.092268172,-0.143408599,-0.284060307
-0.408561274,0.768638979,0.645991863,-0.301158059,-0.167248268
0.892894057,-0.810428932,1.654022149,-0.258135479,1.775609126
-0.235739585,0.296634629,-0.021046465,-0.344180639,0.476510857
-0.925406137,0.829810412,-0.092268172,-0.337010209,-0.397499524
-0.175684048,0.17908269,1.118889083,0.01434086,0.35789998
1.55723143,-1.692972211,1.977819539,0.09321559,2.777674282
0.106717393,0.011661553,-0.030425259,-0.322669349,0.557121281
-0.809345572,1.026880857,-0.092268172,-0.401544079,-0.424819375
-0.057841259,0.109657796,1.225645872,-0.394373649,0.198028259
1.870956803,-1.884347986,2.602691849,0,2.989375021
0.564748875,-0.844694952,-0.044529995,0.337010209,0.552961469
-0.622212087,0.926946466,-0.092268172,-0.00717043,-0.176130031
0.004590576,0.223790754,1.203965415,0.752895147,0.16036509
1.699971344,-1.783139644,2.406334617,0.810258587,3.222999097
0.314535474,-0.393563802,0.071509032,0,0.342272576
-1.008792602,0.56233511,-0.092268172,-0.430225798,-0.699704296
-0.300871759,-0.112989669,0.985988745,-0.215112899,-0.510713886
2.634180586,-2.472281892,3.23304043,1.240484385,1.924912674
0.598827152,-0.529680584,-0.011389398,1.369552125,1.235283182
-0.970879844,0.842462816,-0.092268172,0.286817199,-0.335102333
-0.59299442,0.422646909,0.59958336,-0.408714508,-0.426393358
2.460872836,-2.279904378,2.942759808,-0.236624189,1.923900828
0.62853088,-0.516625306,0.01360418,-0.143408599,0.468528513
-0.571445716,0.477100155,-0.092268172,-0.143408599,-0.61189852
0.285533834,-0.185626662,1.158828249,0.523441388,-0.225260792
2.66998708,-2.337569723,3.036453204,2.387753181,1.942451344
0.365625886,-0.244555069,-0.076534703,0.473248378,-0.407168278
-0.398948067,0.946349722,-0.092268172,-0.10755645,-0.59863209
0.179572536,-0.064906179,1.112551842,-0.279646769,-0.134869186
2.061222681,-1.887048327,2.364503867,2.63871823,1.028079538
0.09888641,0.086966222,-0.079039157,4.481518733,-0.412452364
-0.348667757,0.653417174,-0.092268172,1.498619864,-0.515210981
-0.496160267,0.842092607,0.30365682,0.344180639,-0.40964168
0.369892421,-0.006892402,1.192906256,0.767236007,0.09965431
-0.404348745,0.937421175,-0.065290476,0.968008046,-0.645177022
-0.627450744,1.059524495,-0.092268172,0.501930098,-0.658331024
0.059677489,0.242562479,1.087667561,-0.11472688,-0.234254981
1.393374867,-1.081040114,2.268593006,1.426915565,0.704850847
0.024843118,0.59666646,-0.055650843,1.828459643,0.024103117
-0.631825293,1.099866281,-0.092268172,1.914504803,-0.145324931
-0.189455776,0.470665068,0.80520003,1.197461806,-0.254379481
1.363077064,-1.022688795,2.082918762,1.591835454,1.027180119
0.107041434,0.140167293,0.078811845,0.860451597,0.061091722
-0.672168356,0.943268284,-0.092268172,0.200772039,-0.211094943
-0.222507924,0.489306131,0.731302883,0.02151129,-0.368493262
0.96542516,-0.556161346,1.548697626,1.771096203,0.670560499
0.12972428,-0.102427851,-0.036815472,2.251515012,-0.018844139
-0.739892856,1.045271485,-0.092268172,4.495859593,-0.336001752
-0.609196453,0.519358313,0.971438773,0.709872567,-0.255166472
0.941608171,-0.922460415,2.014390601,-0.11472688,0.76286337
0.256424181,-0.111051521,0.037394816,-0.222283329,-0.216603884
-0.715535799,1.08427399,-0.092268172,-0.358521499,-0.431789872
-0.594938664,1.037714886,0.202288462,-0.09321559,-0.276302818
0.230230894,-0.27532589,1.183128492,2.086595122,-0.371191519
0.026625341,0.105149969,0.003325526,2.079424692,-0.208621541
-0.696093359,1.161397034,-0.092268172,-0.12906774,-0.406156431
-0.324094673,0.576174357,0.667495298,-0.415884938,-0.42032228
1.50025428,-1.171229323,2.44905651,0.229453759,0.608275735
-0.068156554,-0.184472484,-0.068303867,0.616656978,-0.19198229
-0.759605329,0.645479478,-0.092268172,-0.150579029,-0.618756589
-0.09235159,0.146482607,0.762964947,-0.222283329,-0.567939418
1.692518409,-1.404950364,2.497998971,0.236624189,1.278455292
0.253129767,-0.055378766,0.053248981,0.06453387,0.234005018
-0.644246852,0.971469426,-0.092268172,-0.351351069,-0.339487
0.018902372,-0.005738224,0.983847051,-0.329839779,-0.240326059
1.857941169,-1.506692241,2.625154822,0.932155897,1.718383594
0.480876349,-0.296416859,-0.015604391,0.838940307,0.371053983
-0.427031592,0.833055176,-0.092268172,-0.164919889,-0.333191068
0.243894608,-0.113784527,0.873957515,-0.10038602,-0.34207283
1.730917228,-1.521674778,2.114352173,2.344730601,1.373231566
0.318099921,-0.005182912,-0.061835201,2.81080855,-0.007376547
-0.423737178,0.928176863,-0.092268172,0.200772039,-0.311380158
0.113036186,0.150533118,0.875328762,-0.05736344,-0.137455015
1.786922256,-1.603817407,2.04638391,0.537782248,1.975842273
0.191994095,-0.086095144,-0.009475687,0.623827408,0.457173349
-0.60757625,0.931214747,-0.092268172,0.236624189,-0.315764825
-0.313779379,0.451882455,0.529312474,0.394373649,-0.328918828
1.333859398,-1.296860507,1.433686532,1.333699975,1.829236982
0.288828248,-0.344750784,-0.051348681,0.580804828,0.437835841
-0.544766367,0.556520666,-0.092268172,0.315498919,-0.222674962
-0.427409639,0.402993218,0.586592386,0.02151129,0.012635525
1.316145174,-1.065066726,1.89055927,1.032541916,1.316905453
0.27538056,-0.136116782,-0.015255712,0.745724717,0.351828902
-0.630637144,1.008207128,-0.092268172,0.03585215,-0.365682578
-0.032674101,0.369990261,0.972924682,0.04302258,0.426368249
1.633543007,-1.599516461,2.337472529,0.552123108,2.400143171
0.202255383,-0.209167537,-0.009733843,0.11472688,0.430865344
-0.638468127,0.866885657,-0.092268172,0.12906774,-0.203337454
-0.149598774,0.483774788,0.869974528,0.08604516,-0.006701983
1.63467715,-1.729209045,2.221429479,1.498619864,2.870876572
0.155323493,-0.695751551,0.043309618,0.293987629,1.056073953
-0.88295681,0.841744176,-0.092268172,0.781576867,-0.378049589
-0.315075542,0.283699124,0.909056079,0.322669349,-0.064489652
1.331105052,-1.790609135,1.562630704,0.910644607,2.875261239
0.208790203,-0.832684968,-0.01619111,0.702702137,0.58623997
-0.740162889,0.769216068,-0.092268172,0.394373649,-0.376475605
-0.203497539,0.301850206,0.635310887,0.172090319,-0.210420379
1.759864861,-1.734620615,2.436850734,0.200772039,2.272538105
0.180922706,-0.206380088,-0.009553469,-0.02151129,0.49303768
-0.702034104,0.886278025,-0.092268172,-0.05019301,-0.316664244
-0.117626762,0.230857372,0.795594595,0.265305909,-0.104963505
1.832017916,-1.641458853,1.825080708,0.0717043,2.463327353
0.465430411,-0.505170634,0.005049475,0.02151129,0.890918145
-0.602985674,0.745370315,-0.092268172,-0.08604516,-0.139253853
