Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.291177709,0.425630724,-0.107236789,-0.164066454,0.048280988
-0.574937508,0.612808494,-0.107236789,-0.300788499,-0.258408246
-0.510945668,0.595521375,0.089014685,-0.328132908,-0.376381791
0.629335518,-0.708761939,1.561612734,-0.314460704,0.356439644
1.70305332,-1.852116085,2.682083123,-0.191410863,1.993375063
1.775649937,-1.873357384,1.650872311,-0.068361023,2.874188222
0.794903277,-1.051901314,0.050486852,-0.095705432,1.237252803
-0.058354228,0.226550673,-0.107236789,-0.164066454,-0.102649579
-0.458822484,0.700615136,-0.107236789,-0.191410863,0.013854544
-0.548331936,0.506224465,-0.107236789,-0.232427477,0.053319004
-0.591454722,-0.510158774,0.034468199,-0.287116295,1.261813132
0.138962188,-1.208995523,1.446813358,-0.314460704,2.54923618
1.105763176,-1.690133794,3.780817983,-0.27344409,3.420183224
1.146907852,-1.559268318,1.580088456,-0.205083068,2.388649414
0.355762982,-0.811014254,0.008638718,-0.246099681,1.161892478
-0.142127163,-0.445461235,-0.107236789,-0.246099681,0.207608249
-0.274759401,-0.496448301,-0.107236789,-0.314460704,0.8207768
-0.932480789,0.326339077,-0.107236789,-0.27344409,-0.156598336
-0.841388849,0.003030213,0.086578556,-0.164066454,-0.204249572
0.293056913,-1.043297495,1.58606244,-0.068361023,1.281755279
1.380720387,-1.64006076,2.664680041,0.068361023,2.080280842
1.273704667,-1.509354246,1.187924053,-0.054688818,2.975788215
0.316893132,-0.809384893,0.027322687,0.082033227,1.773591608
-0.205129949,-0.243003242,-0.107236789,0.246099681,1.045598272
-0.580871836,0.279345932,-0.107236789,-0.054688818,0.004198347
-0.725669447,-0.212144741,-0.107236789,-0.232427477,0.077879333
-0.942865863,0.432942977,0.092447835,-0.259771886,-0.451742116
-0.249241789,-0.000466951,1.159408315,0.382821726,-0.002519008
0.819036213,-1.195682454,1.661231094,0.505871567,2.204971742
0.52617711,-1.049914288,0.976147201,0.109377636,1.772122186
-0.346564773,-0.044459688,-0.051568801,0.082033227,0.705952015
-0.775221089,0.551926043,-0.107236789,0.027344409,0.076409912
-0.9525586,-0.071026214,-0.107236789,-0.041016614,-0.127209908
-1.138698698,-0.075079746,-0.107236789,-0.191410863,-0.29598345
-1.428788447,0.37712744,0.032725448,-0.300788499,-0.560059464
-0.233812536,-0.473855825,1.096018937,-0.27344409,0.012385123
0.789067855,-1.336999683,2.344006831,-0.218755272,1.975322171
0.790155815,-1.396987973,1.053907878,-0.15039425,2.355692392
0.173282387,-0.821386525,-0.037522086,-0.177738659,0.899495803
-0.252703481,-0.323239318,-0.107236789,-0.246099681,-0.087535531
-0.639819498,0.165707963,-0.107236789,-0.328132908,0.064864458
-0.831498302,0.215304111,-0.107236789,-0.355477317,-0.133927263
-0.8929186,0.201116751,0.10971829,-0.328132908,-0.209077671
0.268429451,-0.717286277,1.803783028,-0.314460704,0.522274342
1.360840388,-1.655599297,2.247346959,-0.191410863,2.503264282
1.33522387,-1.626111844,1.140945389,-0.082033227,2.396626273
0.403237609,-0.918492444,-0.00674589,-0.259771886,1.529247824
-0.447151638,0.368146086,-0.107236789,-0.355477317,0.286327252
-0.370598803,-0.22863705,-0.107236789,-0.355477317,0.428861126
-0.619741687,-0.847317203,-0.107236789,-0.355477317,0.031907436
-0.775023278,-0.592620318,0.076800302,-0.382821726,-0.028548758
-0.025319801,-0.687242456,1.090312532,-0.396493931,0.555021448
1.024067256,-1.468441398,1.890550634,-0.355477317,1.830899041
1.479526954,-1.714156929,1.317722956,-0.355477317,2.006599855
0.325201192,-0.514510359,-0.016407805,-0.355477317,1.068269344
-0.449030842,0.583857537,-0.107236789,-0.355477317,-0.12867933
-0.711723776,0.759570172,-0.107236789,-0.369149522,-0.100970241
-0.807167556,0.825122132,-0.107236789,-0.396493931,-0.21075701
-0.769484571,0.769425817,0.055338169,-0.041016614,-0.268064443
0.485329151,-0.487447077,2.286758965,1.462925883,0.374702452
1.931327149,-1.921900409,3.258157808,1.927780837,2.495287423
1.902941279,-2.042572447,1.841298715,1.531286906,2.73627253
0.791441586,-1.150139837,-0.001094164,0.683610226,1.158533801
-0.273275819,0.264403503,-0.107236789,0.478527158,0.095722307
-0.566431637,0.875175296,-0.107236789,0.095705432,0.058147103
-0.66553492,1.038250451,-0.107236789,-0.218755272,0.01259504
-0.644863677,1.010273136,0.032082096,-0.232427477,-0.155128914
-0.124620895,0.601045305,0.995262786,0.451182749,0.474623106
0.944151635,-1.079958109,1.729944123,1.025415339,2.431262634
0.572168155,-0.499667281,0.951738213,0.464854953,1.350608167
-0.083080596,0.129643456,-0.010374489,0.109377636,0.604142105
-0.596399995,0.815405579,-0.107236789,-0.15039425,-0.307528903
-0.72102089,1.090191288,-0.107236789,-0.15039425,-0.079348755
-0.774330939,1.050550136,-0.107236789,-0.068361023,-0.314036341
-0.750791437,1.021360737,0.007262433,-0.27344409,-0.271423121
-0.021759204,0.342076316,1.059150092,-0.246099681,0.096142142
0.827937705,-0.744846316,1.788548497,-0.218755272,1.847482511
0.782935715,-0.773340257,1.026803326,-0.218755272,1.604818066
0.101477014,-0.206700292,0.016333349,-0.287116295,0.906213158
-0.557530145,0.708781809,-0.107236789,-0.314460704,0.120492553
-0.724383676,0.655191741,-0.107236789,-0.314460704,-0.325581795
-0.994692331,0.819876386,-0.107236789,-0.27344409,-0.279609897
-0.870961585,0.774135067,0.09405447,0.041016614,-0.223981802
0.524891339,-0.486572786,1.792837898,0.041016614,1.029224719
1.343334119,-1.471163622,1.56226423,0.15039425,2.619978323
1.484175511,-1.657566452,1.814878234,0.082033227,2.703315507
0.566926165,-0.769902703,6.10777E-05,-0.218755272,1.160213139
-0.395819698,0.751939996,-0.107236789,-0.341805113,0.017003305
-0.547936314,0.841912495,-0.107236789,-0.355477317,-0.266595022
-0.958591833,0.992787315,-0.107236789,-0.355477317,-0.389606583
-0.820124173,0.826950195,0.097146748,-0.355477317,-0.376381791
0.689865666,-0.666080639,1.974969365,-0.341805113,0.88312225
1.879401777,-1.766256728,3.03885618,-0.123049841,2.808484095
1.52264974,-1.711712888,1.422443925,0.177738659,2.910084087
0.935843575,-1.472157135,-0.024410733,0.451182749,1.107943722
0.074080198,-0.10856112,-0.107236789,0.246099681,0.061505781
-0.487999598,0.73805069,-0.107236789,0.109377636,-0.141904122
-0.675821089,0.914279951,-0.107236789,-0.068361023,-0.049960327
-0.589377707,0.832335034,0.030713955,0.027344409,-0.346783446
0.573453926,-0.4631855,2.00378642,1.462925883,0.783201596
1.441250536,-1.53653675,2.11353554,1.093776361,2.954586564
1.647666256,-1.756738878,2.007083454,0.505871567,3.200189852
0.88965472,-1.114949622,0.176917755,0.287116295,0.917758611
-0.337959997,0.357495631,-0.107236789,-0.232427477,-0.141694205
-0.917447157,0.374623788,-0.107236789,-0.369149522,-0.438727241
-0.954338898,0.612331608,-0.107236789,-0.396493931,-0.730722261
-0.92328258,0.379968886,-0.035617624,-0.341805113,-0.604142105
0.34794945,-0.625406234,1.691927017,-0.013672205,-0.212436348
2.165040779,-2.039611779,3.347249858,0.875021089,1.421140393
2.634742865,-2.511271941,2.207709257,1.54495911,2.309930412
1.067585663,-1.100404598,0.033088424,1.709025564,2.288518843
0.004747463,0.094552592,-0.107236789,0.957054316,0.154918997
-0.571080195,0.549700575,-0.107236789,0.560560385,-0.23048924
-1.231274219,0.948456784,-0.107236789,0.041016614,-0.258198328
-1.071838599,0.79728391,-0.054343475,-0.341805113,-0.397583442
-0.038474229,-0.065243971,1.040236937,-0.382821726,-0.261557006
2.006297497,-1.890723984,3.127500327,-0.27344409,1.158533801
2.476098488,-2.309092131,1.923819964,-0.123049841,2.570647748
1.2019982,-1.305644426,0.07645245,-0.082033227,1.037411495
-0.075267064,0.323616852,-0.107236789,-0.136722045,-0.025609916
-0.534781886,0.652529127,-0.107236789,-0.109377636,-0.530671036
-0.536067658,0.17888194,-0.107236789,-0.109377636,-0.474833024
-0.414512833,0.472027762,0.061149279,0.451182749,-0.520595004
0.913095316,-0.850019557,1.895037811,0.601576999,0.236996677
2.373830231,-2.084816602,3.415901228,1.96879745,1.230745366
2.491527742,-2.220232366,1.797977735,2.638735471,2.533072544
0.871555018,-0.920062194,-0.079939116,0.806660066,-0.364836337
-0.22629572,0.434532597,-0.107236789,0.15039425,-0.258408246
-0.317882187,0.749615176,-0.107236789,0.013672205,-0.628912351
-0.43706328,0.938124253,-0.107236789,-0.164066454,-0.351821462
-0.403039798,0.595461764,0.095944971,-0.328132908,0.062975202
0.707569746,-0.753152081,1.779952242,-0.15039425,-0.177799987
2.264341873,-2.01916529,3.508755666,1.162137384,0.592806569
1.48615362,-1.463732148,0.539286696,3.923922696,1.463753613
0.245879003,-0.075377799,-0.08428436,5.523570624,-0.242034693
-0.08911383,0.194837752,-0.107236789,3.076246016,-0.391076005
-0.28613353,0.395785606,-0.107236789,1.681681155,-0.492885915
-0.376730942,0.757384445,-0.107236789,1.230498406,-0.332089232
-0.719240591,1.137283785,-0.02709699,0.396493931,-0.628912351
-0.213734725,0.360197986,0.499555923,0.314460704,0.001049587
0.228768356,0.037445489,1.325212831,0.710954635,-0.076199995
0.424304474,-0.089267105,0.690099829,0.806660066,0.399262781
-0.391072236,0.809881649,-0.060430307,0.779315657,-0.645285904
-0.373763778,0.861564174,-0.107236789,1.12112077,-0.422353689
-0.547639598,0.928824975,-0.107236789,0.929709907,-0.379740468
-0.625774921,0.965445849,-0.107236789,0.082033227,-0.712459453
-0.517770145,0.847754349,0.089581253,-0.232427477,-0.501072691
0.602729946,-0.444348501,1.743141566,0.068361023,0.200680977
1.214064667,-0.907007439,2.360190684,0.943382111,1.006133812
1.313365761,-1.105014496,1.521445691,1.832075405,0.446914017
0.257253132,0.287532476,-0.043705479,1.886764223,0.527312359
-0.236087361,0.762073824,-0.107236789,1.654336746,-0.345314025
-0.492747061,0.981799066,-0.107236789,1.832075405,0.000839669
-0.688678801,0.98609104,-0.107236789,1.873092018,-0.135186767
-0.668304273,0.906093407,0.01876017,1.353548247,-0.232168578
0.297013132,-0.086425659,1.323879591,0.984398725,-0.105798339
1.400996009,-1.094880668,2.605585882,1.558631315,1.152026363
1.070948449,-0.810656589,0.953904437,1.531286906,0.90285448
0.435678604,-0.254090842,0.189588185,1.011743134,0.461818148
-0.263978704,0.470636844,-0.107236789,0.683610226,-0.21075701
-0.554760792,0.781149265,-0.107236789,0.382821726,-0.166254533
-0.700547457,0.900966882,-0.107236789,0.054688818,-0.090894208
-0.653270642,0.882427938,-0.004899597,-0.164066454,-0.310677664
0.221449352,-0.028742319,1.219327314,0.259771886,-0.240355355
0.887478799,-0.474134008,1.634677987,1.435581474,0.661659456
0.85622467,-0.580042449,0.997935082,1.996141859,0.727363584
0.435085171,-0.455277139,-0.011025985,1.996141859,0.218943786
-0.221844973,0.229113936,-0.107236789,2.351619176,-0.117133876
-0.617862483,0.836885321,-0.107236789,4.019628127,-0.187876019
-0.761473228,1.031375344,-0.107236789,4.607532921,-0.302490887
-0.915073426,0.724916453,0.015439869,1.54495911,-0.345314025
-0.224911043,0.18361106,1.615625225,-0.136722045,0.005877686
0.91062268,-1.134998706,2.081878661,-0.095705432,1.212692474
0.789463477,-0.587632885,1.358714839,-0.068361023,0.348672702
0.603224473,-0.563748843,0.117729362,-0.15039425,-0.038624791
-0.157952039,0.3218484,-0.107236789,-0.218755272,-0.228809901
-0.643676811,0.945635208,-0.107236789,-0.287116295,-0.407449557
-0.691052532,0.993800698,-0.107236789,-0.341805113,-0.261766923
-0.625873826,0.969777564,-0.09174515,-0.218755272,-0.412487574
-0.487999598,0.884693146,0.388329304,0.095705432,0.033586774
-0.045892139,0.008693235,0.852339733,1.066431952,0.041773551
0.443195419,-0.550376164,1.146008442,2.96686838,-0.597844585
0.328366167,-0.392447404,0.058618916,3.048901607,-0.094462803
-0.303936515,0.545090677,-0.107236789,0.970726521,-0.158067757
-0.617961388,1.021857493,-0.107236789,0.068361023,-0.353290884
-0.681161985,1.058319405,-0.107236789,-0.259771886,-0.268064443
-0.681755418,0.887514722,-0.013078196,-0.382821726,-0.476302445
0.063892935,0.124695764,1.116799326,-0.355477317,-0.171502467
1.389325163,-0.941382974,3.017056666,-0.054688818,0.4830198
1.333839194,-1.235224255,1.177685099,0.546888181,0.789709034
0.209580695,-0.588964192,-0.065658561,0.834004475,0.335237992
-0.358730146,0.213078643,-0.107236789,0.396493931,-0.556700786
-0.690755816,0.560986878,-0.107236789,0,-0.499183435
-0.724680392,0.577697759,-0.107236789,-0.232427477,-0.519125582
-0.506791638,0.402263308,-0.021186992,-0.314460704,-0.683071025
0.313332535,-0.174192561,1.290548601,-0.054688818,-0.240355355
1.310200786,-1.058379016,2.18495693,0.177738659,1.250477596
1.765067051,-1.544743164,2.094700331,0.328132908,1.273568503
0.843663675,-0.74202474,0.145236445,0.246099681,0.660190035
-0.404424475,0.601720894,-0.107236789,-0.068361023,-0.086276027
-0.58888318,0.923340786,-0.107236789,-0.259771886,-0.287796673
-0.615290941,0.810239314,-0.107236789,-0.355477317,-0.209077671
-0.501055121,0.390301417,0.008898153,-0.341805113,-0.492885915
0.51134129,-0.440016786,1.643695387,-0.232427477,0.181158665
1.551332326,-1.293980589,2.455938462,0.492199363,1.598310628
1.826882971,-1.494809221,2.044335053,1.339876042,1.747142023
0.83941074,-0.757503666,0.025775384,1.12112077,0.892988365
0.016912836,0.17733206,-0.107236789,0.533215976,-0.063185119
-0.312244575,0.637209163,-0.107236789,-0.027344409,-0.228599984
-0.494131737,0.843780298,-0.107236789,-0.232427477,-0.25651899
-0.397204375,0.450865944,0.013698281,-0.232427477,-0.44355534
0.81953074,-0.69775382,1.448236178,0.095705432,-0.058147103
1.412172327,-1.192165419,1.83590177,1.421909269,1.425968492
1.7334173,-1.623965857,1.778125727,3.103590425,1.275037925
0.544276812,-0.465212265,-0.054435382,3.130934834,0.153449576
0.013945672,0.416510279,-0.107236789,2.283258154,-0.030228097
-0.311057709,0.774552342,-0.107236789,0.533215976,-0.125320652
-0.489285369,0.880023637,-0.107236789,-0.095705432,-0.319074357
-0.441118405,0.704609056,0.001023197,-0.095705432,-0.204249572
0.623796811,-0.469146575,1.463290384,0.041016614,0.084596688
1.478340088,-1.406088548,1.975177611,0.300788499,1.685216407
1.769814514,-1.559943906,1.520924495,0.779315657,2.140946953
0.66444696,-0.707351151,0.036408726,0.834004475,1.017679265
-0.337168754,0.510993325,-0.107236789,0.410166135,-0.027079337
-0.454965171,0.794382853,-0.107236789,0.27344409,-0.092573547
-0.682052134,0.865736926,-0.107236789,0.232427477,-0.360008238
-0.68432696,0.806960722,-0.022927417,0.369149522,-0.310677664
0.085355422,-0.021569158,0.886900421,0.437510544,-0.166464451
1.076190439,-1.042701387,1.35292816,1.203153997,1.386713949
1.342246159,-1.363168805,1.080139891,1.39456486,2.165717199
0.549320991,-0.672160935,-0.036241199,0.875021089,0.889629688
-0.044705273,0.003785283,-0.107236789,0.287116295,0.064864458
-0.378016714,0.321391384,-0.107236789,0.218755272,-0.141904122
-0.643973527,0.654953298,-0.107236789,0.437510544,-0.136866106
-0.724977109,0.688017396,-0.010740955,0.041016614,-0.094462803
-0.082091542,0.008156738,0.97409499,0.054688818,0.255049568
0.77977074,-0.564603264,1.401807796,0.792987862,0.84365779
1.606224863,-1.418269012,1.823937515,1.230498406,1.752180039
0.587894125,-0.550435774,0.026380344,1.025415339,0.793067711
-0.10790587,0.262794012,-0.107236789,0.451182749,0.000839669
-0.519055916,0.77753288,-0.107236789,0.054688818,-0.285907417
-0.660194025,1.023089449,-0.107236789,0.068361023,-0.259877667
-0.635566562,1.037535122,0.047361999,0.054688818,-0.117343793
0.551398006,-0.40158772,1.586281157,0.082033227,1.05042637
1.528880784,-1.483900453,2.428963046,0.546888181,2.213158518
1.438382278,-1.474283251,1.572179763,0.560560385,2.405232884
0.47791124,-0.529611751,0.035960823,0.177738659,0.727363584
-0.131840994,0.108660471,-0.107236789,0.095705432,0.214115687
-0.512923777,0.652052241,-0.107236789,0.191410863,-0.054788426
-0.680667457,0.890674092,-0.107236789,0.109377636,-0.187876019
-0.579190443,0.7933496,0.003254571,0.109377636,-0.097611563
0.28089154,0.050241931,1.451769379,0.109377636,0.222092546
1.474482775,-1.503532262,1.998278953,1.189481793,2.65104609
1.494857302,-1.69132601,1.801528387,1.722697769,2.846269216
0.623697906,-1.208081491,0.127991584,0.546888181,1.734127148
-0.363576515,-0.100831592,-0.107236789,0.068361023,0.374702452
-0.78590288,0.66933936,-0.107236789,0.587904794,-0.258198328
-0.855433426,0.827506562,-0.107236789,0.957054316,-0.310677664
-0.884907257,0.797522353,0.018924208,0.300788499,-0.368195015
0.283561988,-0.319046695,1.503906494,0.369149522,0.384778485
1.183107255,-1.674674739,1.525203426,0.970726521,3.387436119
1.230285165,-1.632231881,1.131583627,0.820332271,2.118065963
0.620236214,-1.416897965,0.024757422,0.669938021,1.220879251
-0.262198406,-0.141903402,-0.107236789,0.724626839,0.010705784
-0.687986462,0.627254167,-0.107236789,0.628921408,-0.301021466
-0.691843776,0.737236009,-0.107236789,0.177738659,-0.264915683
-0.67690905,0.764279422,0.005985036,0.068361023,-0.510728889
0.279902485,-0.252680054,1.041895924,0.314460704,0.254839651
1.756857897,-1.769992336,3.248452848,0.328132908,1.593062695
1.441745064,-1.434741451,0.925111813,0.109377636,2.787072526
0.65089691,-0.917240619,0.036273773,-0.041016614,1.140480909
-0.343894326,0.501376123,-0.107236789,0.054688818,-0.082917349
-0.641896512,0.840640799,-0.107236789,0.041016614,-0.095932224
-0.668106463,0.737474452,-0.107236789,-0.082033227,-0.3583289
-0.603422284,0.660815022,-0.003176624,0.218755272,-0.382889229
0.36367542,-0.278769695,1.32915089,0.341805113,0.323902456
1.668535311,-1.429833499,1.942969287,0.109377636,2.049213075
1.66220536,-1.604890415,1.169170281,0.082033227,2.687151872
0.933173127,-1.193874261,0.06160998,0.068361023,1.343890812
-0.105136517,0.232750192,-0.107236789,0.027344409,0.456570215
-0.420644972,0.533426839,-0.107236789,-0.013672205,0.112305777
-0.707965368,0.787547486,-0.107236789,-0.095705432,-0.235317338
