Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.348161412,0.268653915,-0.169076783,-0.272476339,-0.815585137
0.137091242,-0.408789161,0.585485817,-0.365691929,-0.071143156
1.779484838,-2.02735517,2.474655939,-0.164919889,2.425127891
0.002025979,0.092674125,-0.126609543,-0.164919889,0.666956921
-0.531788776,0.233984345,-0.169076783,-0.250965049,-0.376042394
-0.258097439,-1.902478921,0.431840709,-0.344180639,0.806804039
1.091143144,-2.353292989,2.204605202,-0.279646769,1.7912627
-0.335023245,-0.363560491,-0.134119101,-0.286817199,-0.344332874
-0.731808152,0.04857343,-0.169076783,-0.337010209,-0.172938848
-0.078153673,-1.013321176,0.951365939,-0.150579029,2.111284941
1.416896001,-2.120319122,2.262680344,-0.02151129,2.219585151
-0.328576949,0.002216784,-0.144602467,0.143408599,0.435558726
-0.859137858,0.420491903,-0.169076783,-0.179260749,-0.807942329
-0.758637024,0.4342626,0.285836226,0.03585215,-0.202209175
0.543821863,-1.229281419,1.817427624,0.293987629,1.966559436
-0.840351508,0.384537695,-0.147584423,0.02868172,-0.295874221
-1.317561639,-0.366474426,-0.169076783,-0.150579029,-0.750702579
-0.931152201,-0.185356083,0.317714839,-0.329839779,-0.260587216
0.493049603,-1.77888731,1.22261462,-0.222283329,1.370908283
-0.606136064,0.029899175,-0.12645199,-0.250965049,-0.467430859
-0.857664419,-0.002248117,-0.169076783,-0.387203219,-0.766150807
-0.41471175,-0.533273752,0.586135043,-0.365691929,0.123179292
1.398723584,-1.951451842,2.114225646,-0.172090319,1.402455191
-0.446145121,0.296320639,-0.127731426,-0.351351069,0.480277281
-0.969829981,0.326352977,-0.169076783,-0.401544079,-0.386287009
-0.881239447,0.043262547,0.211343007,-0.437396228,0.006423211
1.052097005,-1.558869491,1.800147082,-0.401544079,2.176167499
-0.387514518,0.419630255,-0.124412633,-0.401544079,0.561258519
-0.698839949,0.628462321,-0.169076783,-0.430225798,-0.543858935
-0.106885738,-0.104815524,0.762727835,0.717042997,-0.171637945
1.612188092,-1.745126388,2.931651768,1.785437063,2.462041026
-0.072873849,0.017021458,-0.125081553,0.580804828,0.23245518
-0.462291559,0.650849495,-0.169076783,-0.09321559,-0.082688674
-0.438593745,0.591693465,0.216410499,0.08604516,0.832171655
0.388742384,-0.02740823,1.814396093,0.752895147,1.665725521
-0.463273852,0.589421848,-0.130079097,-0.05019301,0.183996527
-0.586919961,0.635747161,-0.169076783,-0.143408599,0.439786662
-0.347547479,0.619062529,0.374721748,-0.301158059,0.950391254
0.621177423,-0.146644603,1.906294809,-0.258135479,1.463435039
-0.37769159,0.427432084,-0.11255204,-0.344180639,0.737043093
-0.720880144,0.501800112,-0.169076783,-0.337010209,0.304980545
-0.375911184,0.380997107,0.301715772,0.01434086,0.539793612
0.948587899,-0.594795396,1.781542283,0.09321559,1.848502451
-0.104675579,0.414131377,-0.121046303,-0.322669349,0.44580334
-0.494830009,0.614879621,-0.169076783,-0.401544079,-0.045775539
0.055499544,0.049262748,0.64085472,-0.394373649,-0.154888813
1.880722392,-2.007317945,2.546802846,0,1.616128578
0.059428716,-0.003783417,-0.148167776,0.337010209,-0.152449619
-0.450504045,0.599855618,-0.169076783,-0.00717043,-0.264327313
-0.037020161,0.055121952,0.682111793,0.752895147,0.118138292
1.516660116,-1.852205695,1.80366757,0.810258587,0.81298333
-0.541120558,0.09350444,-0.143218448,0,-0.388726203
-1.142222371,0.51535148,-0.169076783,-0.430225798,-0.302378738
-0.063173707,-0.394391811,0.778814508,-0.215112899,-0.47637457
2.801130765,-2.774278382,3.318165859,1.240484385,2.459601832
-0.150904735,0.125307073,-0.118189302,1.369552125,0.464829053
-1.411923143,0.403901269,-0.169076783,0.286817199,-0.266766507
0.205728953,-0.656144712,0.944892696,-0.408714508,-0.724034059
2.699586245,-2.873023206,3.225852888,-0.236624189,2.12787146
-0.221691211,-0.070255619,-0.14957013,-0.143408599,-0.438160533
-0.581824316,0.197701145,-0.169076783,-0.143408599,-0.437022242
0.51195874,-0.688667995,1.079266123,0.523441388,-0.130984713
2.494900979,-2.644921565,2.556534441,2.387753181,2.252270349
0.40949332,-0.167151818,-0.148767427,0.473248378,-0.410516335
-0.293521374,0.554329288,-0.169076783,-0.10755645,-0.710374573
0.052429879,-0.32123009,0.684471688,-0.279646769,-0.413931206
2.45996819,-2.377058799,2.989226409,2.63871823,1.166341221
0.071339016,0.242945481,-0.151464837,4.481518733,-0.569063939
