Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.186606148,0.092578166,-0.08458387,-0.164066454,-0.721125118
-0.38089342,0.245594154,-0.08458387,-0.300788499,-0.78015929
-0.366660748,0.185913261,0.064011953,-0.328132908,-0.522528108
0.691978972,-1.106629326,1.121751156,-0.314460704,0.407184418
1.564125501,-1.765943078,2.605643659,-0.191410863,2.176090406
1.783037556,-2.162544449,1.972409076,-0.068361023,2.355917576
0.256414017,-0.375698502,-0.008327541,-0.095705432,1.133153365
-0.179602769,0.38684864,-0.08458387,-0.164066454,0.125636828
-0.356494553,0.428537927,-0.08458387,-0.191410863,-0.312124264
-0.548861545,-0.154791859,-0.08458387,-0.232427477,-0.370855697
-0.583991394,-1.405907172,0.006065484,-0.287116295,0.35995708
0.182200797,-2.290523575,0.903804681,-0.314460704,1.159188949
0.954944536,-2.64977344,1.996407613,-0.27344409,1.554263793
1.125736603,-1.884402373,2.096728329,-0.205083068,1.797666225
-0.112618843,-0.590957295,-0.021812085,-0.246099681,0.151672411
-0.430707773,-0.245710605,-0.08458387,-0.246099681,-0.7756182
-0.565579287,-0.118866872,-0.08458387,-0.314460704,-0.423229603
-0.707793052,0.048064954,-0.08458387,-0.27344409,0.118371084
-0.57235675,-0.510431758,0.035796599,-0.164066454,1.733788224
0.501645219,-1.533682509,1.806959402,-0.068361023,2.213932824
1.55475001,-2.262546336,2.901724397,0.068361023,2.502746158
1.125284772,-1.838695543,1.295694215,-0.054688818,1.646599293
-0.052525338,-0.470110764,-0.040636548,0.082033227,0.565214355
-0.478940718,0.313164571,-0.08458387,0.246099681,0.262777751
-0.636855606,0.303586515,-0.08458387,-0.054688818,-0.723547032
-0.870791037,0.316745424,-0.08458387,-0.232427477,-0.763508626
-0.916877785,0.341753174,0.01575026,-0.259771886,-0.517987018
-0.405857076,0.304168768,0.631946857,0.382821726,0.158635416
0.747102337,-1.147649023,2.312460305,0.505871567,1.875772976
0.326560759,-1.297782861,1.085439954,0.109377636,1.802510055
-0.608842092,0.148794657,-0.0459911,0.082033227,-0.037539679
-0.864239489,0.404723795,-0.08458387,0.027344409,-0.496189785
-1.090041965,-0.779607143,-0.08458387,-0.041016614,-0.649981372
-1.261059947,-0.062475706,-0.08458387,-0.191410863,-0.730510037
-1.182554334,-0.05112178,-0.040774345,-0.300788499,-0.7756182
-0.45759171,-0.454389943,0.745714315,-0.27344409,0.307583174
0.32848104,-1.853251858,1.003874193,-0.218755272,0.880366013
0.651766024,-1.613509343,1.325949689,-0.15039425,1.688982801
-0.326560759,-0.258461937,-0.008044632,-0.177738659,-0.238558603
-0.715587134,0.152957763,-0.08458387,-0.246099681,-0.614560869
-0.768451346,0.087396118,-0.08458387,-0.328132908,-0.57217736
-0.736484312,-0.252639411,-0.08458387,-0.355477317,-0.837074287
-0.879375823,-0.178023738,0.053549176,-0.328132908,-0.662090946
0.189430091,-0.974021292,1.133379716,-0.314460704,0.908520772
1.260834032,-1.926062548,2.023173056,-0.191410863,1.298751786
1.385765266,-1.861374282,1.907672777,-0.082033227,1.32932846
-0.235065008,-0.076653557,-0.010342053,-0.259771886,0.636660841
-0.512715075,0.466238784,-0.08458387,-0.355477317,0.274584585
-0.681360946,0.424491271,-0.08458387,-0.355477317,-0.356929687
-1.029948459,0.020902869,-0.08458387,-0.355477317,-0.345122852
-1.016506491,-0.0834368,-0.001457228,-0.382821726,-0.673595041
-0.531804929,0.0027657,0.515390545,-0.396493931,0.702658018
0.662835881,-1.174636432,1.711279866,-0.355477317,1.651140383
1.34600415,-1.883266981,1.655590577,-0.355477317,2.417373663
-0.186832063,0.092607279,-0.00438266,-0.355477317,0.591249939
-0.453073401,0.526123466,-0.08458387,-0.355477317,0.47075968
-0.578908297,0.531800429,-0.08458387,-0.369149522,-0.314546179
-0.633805747,0.475001686,-0.08458387,-0.396493931,-0.680860785
-0.608729134,0.274619447,0.020449973,-0.041016614,-0.652706026
0.485153393,-0.630463135,1.483577888,1.462925883,0.350269421
1.490928901,-1.659827539,3.29038608,1.927780837,2.609007668
1.548424378,-1.744195943,2.108271529,1.531286906,1.991722145
0.145828412,-0.405073146,-0.005583806,0.683610226,0.480447339
-0.206825579,0.275638389,-0.08458387,0.478527158,-0.030576674
-0.333338222,0.515264454,-0.08458387,0.095705432,-0.006963005
-0.444149741,0.53313961,-0.08458387,-0.218755272,-0.129875179
-0.485718181,0.520068039,-0.032638255,-0.232427477,0.161057331
-0.248168103,0.418406731,0.555671017,0.451182749,1.405316035
0.561399851,-0.313659485,2.367831322,1.025415339,1.913918134
0.226932053,0.101661307,1.024625367,0.464854953,1.204297111
-0.323623858,0.434389566,-0.014557649,0.109377636,0.321811923
-0.455671429,0.499863873,-0.08458387,-0.15039425,0.037842418
-0.489332828,0.500853702,-0.08458387,-0.15039425,0.516170582
-0.517459299,0.519485786,-0.08458387,-0.068361023,0.319692747
-0.509439302,0.543591044,-0.015462472,-0.27344409,0.518289757
-0.056930689,0.445743492,0.822766936,-0.246099681,1.268175113
0.545246898,-0.08774547,2.030440905,-0.218755272,1.485541962
