Temperatura,Humedad,Radiacion,Precipitacion
-0.274058333,0.310033841,-0.111630769,-0.164066454
-0.59243599,0.655821019,-0.111630769,-0.300788499
-0.398358577,0.429461217,0.065558077,-0.328132908
0.943486265,-1.112752404,2.101902498,-0.314460704
1.23228335,-1.557773809,1.351948201,-0.191410863
1.516545434,-1.746508372,1.094537296,-0.068361023
0.228708327,-0.751522031,-0.050438441,-0.095705432
-0.214587984,0.06350429,-0.111630769,-0.164066454
-0.340743456,0.802484575,-0.111630769,-0.191410863
-0.486584953,0.862525845,-0.111630769,-0.232427477
-0.79578954,0.472772359,0.007939156,-0.287116295
0.032054209,-0.721080217,1.630510735,-0.314460704
0.471640064,-1.189313213,0.829351091,-0.27344409
0.77754647,-1.270764368,0.74268104,-0.205083068
0.2650914,-0.658231093,0.009992218,-0.246099681
-0.389288576,0.174952681,-0.111630769,-0.246099681
-0.543787801,0.09286976,-0.111630769,-0.314460704
-0.752294762,0.39639874,-0.111630769,-0.27344409
-0.562958486,-0.092705968,0.017831863,-0.164066454
0.303432769,-0.796798671,1.479740849,-0.068361023
1.471710769,-1.595352251,2.606363227,0.068361023
0.932561036,-1.277526616,0.385235726,-0.054688818
0.242416397,-0.506490002,-0.068878591,0.082033227
-0.411963579,0.517159846,-0.111630769,0.246099681
-0.664377591,0.781098089,-0.111630769,-0.054688818
-0.964409109,0.765093323,-0.111630769,-0.232427477
-0.989248544,0.797711223,0.018403488,-0.259771886
0.140791156,0.127663746,0.927488063,0.382821726
0.863608413,-1.039795006,1.89150552,0.505871567
0.721786576,-1.011412285,1.01938654,0.109377636
-0.269729469,0.217538462,-0.067452521,0.082033227
-0.669943273,0.846825264,-0.111630769,0.027344409
-1.065003668,0.915641077,-0.111630769,-0.041016614
-1.2671204,0.692276319,-0.111630769,-0.191410863
-1.142098679,0.425436626,-0.030633574,-0.300788499
-0.376920392,-0.04834188,0.780737511,-0.27344409
0.632735655,-0.933658138,1.55685189,-0.218755272
0.828977499,-1.293952559,1.45958732,-0.15039425
-0.126361608,-0.288577159,0.035076388,-0.177738659
-0.567081214,0.258416131,-0.111630769,-0.246099681
-0.544921552,0.270560098,-0.111630769,-0.328132908
-0.785173516,0.442564534,-0.111630769,-0.355477317
-0.792697495,0.456650599,0.099312395,-0.328132908
0.386505735,-0.681255493,1.250469765,-0.314460704
1.075619692,-1.35130297,1.792535052,-0.191410863
1.438007469,-1.66501042,1.558198651,-0.082033227
0.273439924,-0.711744104,0.010156822,-0.259771886
-0.282819129,0.131945723,-0.111630769,-0.355477317
-0.376714256,0.0076748,-0.111630769,-0.355477317
-0.856805912,-0.028172132,-0.111630769,-0.355477317
-0.886283416,-0.279685623,0.009124305,-0.382821726
-0.031848073,-0.730837509,0.557196146,-0.396493931
1.008110024,-1.374467763,2.139454682,-0.355477317
1.593125104,-1.811767571,1.955663714,-0.355477317
0.449995743,-0.650532894,0.015118888,-0.355477317
-0.386608803,0.798015408,-0.111630769,-0.355477317
-0.69354589,1.105007407,-0.111630769,-0.369149522
-1.101283673,1.130044102,-0.111630769,-0.396493931
-0.576666556,0.630526937,0.007735645,-0.041016614
