Temperatura,Humedad,Radiacion,Precipitacion
-0.425857298,0.491726939,-0.245033801,-0.272476339
0.369796689,-0.41565278,1.178705488,-0.365691929
1.611902258,-1.857753119,1.34487233,-0.164919889
0.070496942,-0.418253386,-0.208592125,-0.164919889
-0.403781617,0.876410623,-0.245033801,-0.250965049
-0.367937684,-0.176319792,0.863665404,-0.344180639
0.766636086,-1.393261733,0.824111842,-0.279646769
-0.007465066,-0.305603378,-0.172604043,-0.286817199
-0.667992652,0.22950347,-0.245033801,-0.337010209
-0.08374235,-0.529113868,0.779769256,-0.150579029
1.417694367,-1.620389897,1.669502048,-0.02151129
-0.033026379,-0.033827188,-0.21957373,0.143408599
-0.855519745,0.811034996,-0.245033801,-0.179260749
-0.415690866,0.469454424,0.451228294,0.03585215
0.956138371,-1.168296449,1.621438923,0.293987629
-0.467103963,0.545927686,-0.218724467,0.02868172
-1.251952485,0.844997364,-0.245033801,-0.150579029
-0.793649747,0.16778414,0.334631507,-0.329839779
0.886425697,-1.265355695,1.684295089,-0.222283329
-0.328317648,-0.056292818,-0.157665745,-0.250965049
-0.687163637,0.35267177,-0.245033801,-0.387203219
-0.166409962,-0.16327814,0.69175601,-0.365691929
1.47933199,-1.699309274,1.883376447,-0.172090319
0.057251534,-0.35870981,-0.172506016,-0.351351069
-0.632729658,-0.050975738,-0.245033801,-0.401544079
-0.454962339,-0.595699678,0.2251835,-0.437396228
1.528711801,-1.792802343,2.326677542,-0.401544079
0.098265823,0.041448766,-0.169550973,-0.401544079
-0.94910901,1.190053993,-0.245033801,-0.430225798
0.437882734,-0.393509007,1.575876357,0.717042997
2.395472715,-2.561744859,3.011804755,1.785437063
0.510035351,-0.90045979,-0.180292859,0.580804828
-0.562319857,1.052170384,-0.245033801,-0.09321559
0.088157486,0.405726705,0.806780814,0.08604516
1.23905564,-1.167253632,1.899905442,0.752895147
-0.190635117,0.591039186,-0.185698557,-0.05019301
-0.412030951,0.610620976,-0.245033801,-0.143408599
0.101228612,0.10714625,1.043749289,-0.301158059
1.188978703,-0.911711917,2.176391832,-0.258135479
-0.014552521,0.108124696,-0.198498102,-0.344180639
-0.288697611,-0.001461232,-0.245033801,-0.337010209
0.236703575,-0.425398615,0.396813965,0.01434086
1.191011989,-1.189526147,1.39060867,0.09321559
0.411333824,-0.597875432,-0.169094706,-0.322669349
-0.432131438,-0.082118637,-0.245033801,-0.401544079
0.161181512,-0.562844499,0.773229128,-0.394373649
1.307896906,-1.423310318,0.707885772,0
-0.036744389,-0.617122491,-0.181313223,0.337010209
-0.540825116,0.869175274,-0.245033801,-0.00717043
