S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P,S4_T,S4_H,S4_R,S4_P
6.73,97.679,122.389,0.19,6.121,92.858,210.36,0.23,4.346,99.901,457.99,0.19,11.096,99.809,165.312,0.19
6.166,96.269,347.256,0.22,5.601,96.752,697.465,0.28,4.981,99.909,686.893,0.22,11.313,99.814,237.775,0.22
5.674,95.005,642.305,0.21,4.314,96.907,561.258,0.29,5.463,99.913,563.469,0.21,10.935,99.811,595.628,0.21
5.791,92.72,410.917,0.2,4.585,96.975,419.999,0.28,3.569,99.901,439.195,0.2,10.538,93.86,377.245,0.2
5.087,95.003,352.465,0.2,3.627,97.682,127.96,0.24,2.614,99.891,670.452,0.2,9.577,99.792,467.461,0.2
5.424,92.333,748.762,0.06,5.774,88.591,383.16,0.06,3.346,99.896,838.352,0.06,10.18,94.584,560.339,0.06
9.221,81.307,380.789,0.08,7.117,94.007,596.97,0.06,7.392,99.924,397.15,0.08,11.796,80.092,938.614,0.08
11.78,75.605,75.045,0.11,8.343,97.96,693.478,0.08,9.64,80.988,290.487,0.11,13.185,76.326,180.558,0.11
12.415,73.591,96.423,0.16,9.932,82.382,65.496,0.13,9.198,87.749,204.867,0.16,14.894,66.773,124.753,0.16
12.327,77.063,121.085,0.21,11.061,76.582,67.834,0.17,9.072,89.844,144.475,0.21,14.395,66.737,130.866,0.21
12.938,78.101,35.836,0.24,9.592,93.183,34.333,0.19,9.339,89.509,44.848,0.24,16.113,60.696,46.638,0.24
13.871,72.174,0,0.24,9.825,80.5,0,0.18,11.359,68.282,0,0.24,17.034,58.332,0,0.24
8.261,99.728,111.48,0.01,6.01,97.72,208.087,0.01,5.774,99.911,70.968,0.01,10.652,99.813,184.632,0.01
8.353,99.731,44.377,0.02,6.337,96.554,120.314,0.01,5.704,99.915,151.497,0.02,10.454,99.81,328.259,0.02
8.416,99.726,427.669,0.02,6.235,96.995,150.65,0.03,5.545,99.907,345.449,0.02,10.512,99.809,331.159,0.02
8.442,99.731,279.605,0.02,5.907,99.61,159.936,0.02,5.674,99.917,640.762,0.02,10.476,99.807,825.287,0.02
8.395,99.734,378.988,0.02,6.399,90.081,217.079,0.02,5.619,99.914,188.391,0.02,10.373,99.806,472.232,0.02
8.471,99.732,392.396,0.21,7.469,86.418,329.607,0.14,5.989,99.92,173.903,0.21,10.52,99.81,424.536,0.21
10.33,86.312,770.55,0.24,7.63,94.847,220.551,0.17,6.813,99.924,385.807,0.24,11.591,99.832,542.763,0.24
9.799,98.463,254.738,0.35,7.77,93.573,233.424,0.3,6.914,99.925,421.525,0.35,12.082,95.338,528.628,0.35
11.274,88.223,287.288,0.49,8.667,90.846,162.159,0.51,8.283,97.98,113.134,0.49,12.923,81.431,206.415,0.49
11.72,75.542,150.815,0.64,9.286,87.788,83.036,0.71,9.106,96.384,90.269,0.64,14.985,65.964,111.324,0.64
12.87,69.65,55.124,0.75,9.708,93.306,12.387,0.86,8.29,99.931,98.607,0.75,15.376,64.596,39.043,0.75
13.464,74.289,0,0.82,10.267,90.608,0,0.92,7.75,99.929,0,0.82,15.873,64.235,0,0.82
8.419,93.371,99.219,0.05,6.289,99.822,97.728,0.03,5.716,99.918,302.758,0.05,11.155,99.816,206.825,0.05
8.379,97.503,336.21,0.05,6.541,99.827,141.224,0.03,5.924,99.914,395.383,0.05,10.805,99.816,259.156,0.05
7.954,99.728,281.916,0.05,6.493,99.821,155.344,0.03,5.752,99.918,279.46,0.05,10.762,99.814,948.077,0.05
8.056,99.73,346.877,0.05,6.704,96.295,316.534,0.04,5.837,99.92,564.337,0.05,10.804,99.814,536.26,0.05
8.134,99.724,1191.034,0.06,6.767,96.996,264.099,0.06,5.631,99.917,503.215,0.06,10.678,99.814,848.089,0.06
8.494,99.73,167.282,0.04,6.577,99.824,183.528,0.04,5.986,99.914,495.056,0.04,10.815,99.814,705.884,0.04
9.303,95.233,229.361,0.04,6.909,99.83,149.775,0.06,6.83,99.92,328.844,0.04,11.792,99.83,855.222,0.04
11.29,80.392,103.746,0.05,7.622,97.856,139.687,0.08,8.73,98.025,326.407,0.05,13.021,81.918,439.409,0.05
12.587,79.805,153.586,0.07,9.715,94.031,117.595,0.1,9.271,95.905,129.25,0.07,14.848,67.856,441.333,0.07
13.685,72.989,34.699,0.11,8.991,98.411,114.421,0.15,9.398,99.23,130.98,0.11,15.583,68.467,89.397,0.11
16.091,69.535,10.97,0.16,8.574,99.846,15.73,0.22,10.74,84.903,14.905,0.16,17.935,58.682,10.884,0.16
