S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S4_T,S4_H,S4_P
11.634,78.971,0.52,7.895,99.836,0.42,6.264,99.916,0.52,14.358,72.391,0.52
10.61,87.967,0.4,7.611,99.837,0.32,6.894,99.923,0.4,13.586,77.297,0.4
10.775,80.816,0.33,7.392,99.831,0.27,7.097,99.925,0.33,12.953,80.715,0.33
10.299,90.047,0.29,6.509,99.827,0.24,6.813,99.918,0.29,12.862,81.917,0.29
9.632,99.733,0.28,8.1,81.334,0.23,6.721,99.921,0.28,12.237,98.215,0.28
8.31,99.721,0.34,7.239,87.985,0.26,4.791,99.912,0.34,11.845,99.819,0.34
7.938,95.191,0.14,7.438,88.992,0.16,5.419,99.913,0.14,11.555,99.815,0.14
13.562,62.737,0.2,10.359,88.297,0.14,10.323,78.973,0.2,18.412,48.523,0.2
12.833,69.632,0.13,11.714,78.264,0.11,10.073,83.358,0.13,17.021,57.377,0.13
11.754,82.625,0.09,9.486,98.03,0.09,9.773,88.696,0.09,15.421,64.809,0.09
12.598,75.654,0.06,8.29,99.842,0.07,9.372,85.782,0.06,15.209,66.516,0.06
11.871,79.519,0.05,7.95,99.839,0.05,8.16,93.918,0.05,14.772,68.403,0.05
10.367,90.373,0.05,7.9,99.834,0.05,6.955,99.92,0.05,13.582,75.191,0.05
10.4,95.336,0.06,7.274,99.834,0.07,6.803,99.92,0.06,13.153,75.579,0.06
9.953,92.548,0.07,7.901,92.747,0.08,6.394,99.921,0.07,11.763,99.817,0.07
9.07,98.394,0.06,7.866,83.843,0.08,6.245,99.92,0.06,11.413,99.814,0.06
8.777,99.73,0.04,7.073,99.831,0.05,6.067,99.916,0.04,11.267,99.818,0.04
8.795,99.734,0.02,5.983,99.82,0.02,6.199,99.915,0.02,10.783,99.812,0.02
8.504,99.73,0.01,6.294,96.607,0.01,6.008,99.921,0.01,10.646,99.805,0.01
12.801,77.061,0.87,8.084,99.843,0.98,8.207,99.931,0.87,15.467,67.064,0.87
12.287,76.661,0.89,8.235,99.847,0.99,8.864,99.935,0.89,17.361,58.733,0.89
12.511,75.595,0.82,8.318,99.844,0.89,8.726,99.931,0.82,16.046,65.742,0.82
12.616,79.752,0.7,7.355,99.83,0.74,9.229,90.928,0.7,15.433,66.278,0.7
11.979,82.451,0.57,7.023,99.828,0.56,7.582,99.934,0.57,14.931,70.105,0.57
10.564,89.582,0.42,6.664,99.822,0.36,6.672,99.92,0.42,14.136,70.345,0.42
10.691,86.824,0.27,6.593,99.828,0.21,6.757,99.916,0.27,13.011,79.992,0.27
10.369,89.954,0.19,5.09,99.813,0.13,6.516,99.921,0.19,12.483,84.306,0.19
9.656,92.48,0.14,5.759,99.819,0.09,5.589,99.913,0.14,11.723,99.821,0.14
7.886,99.726,0.1,5.46,99.811,0.07,4.164,99.898,0.1,11.089,99.81,0.1
7.319,96.997,0.08,5.675,99.814,0.04,3.489,99.898,0.08,10.423,0,0.08
7.377,98.686,0.07,5.945,99.822,0.03,5.634,99.915,0.07,10.642,0,0.07
14.299,66.675,0.33,8.323,99.847,0.43,11.51,77.679,0.33,19.934,49.112,0.33
14.123,65.916,0.4,8.305,99.84,0.52,11.532,79.597,0.4,19.882,50.747,0.4
13.274,70.844,0.44,8.418,99.847,0.58,9.106,99.898,0.44,19.602,52.972,0.44
13.079,72.119,0.46,7.843,99.835,0.62,10.097,89.349,0.46,17.337,55.844,0.46
12.697,70.517,0.42,7.821,99.836,0.57,8.517,99.927,0.42,15.24,76.044,0.42
10.313,97.112,0.37,7.504,99.834,0.52,7.744,99.927,0.37,14.203,72.898,0.37
9.855,99.741,0.32,7.36,99.829,0.46,6.629,99.918,0.32,13.412,82.102,0.32
9.677,99.733,0.26,7.29,99.83,0.37,7.117,99.918,0.26,13.187,85.795,0.26
9.095,99.735,0.23,7.349,99.836,0.32,6.572,99.921,0.23,12.838,95.38,0.23
9.266,99.732,0.21,7.276,99.833,0.27,6.946,99.922,0.21,12.03,99.818,0.21
9.472,99.742,0.22,7.034,99.825,0.27,6.56,99.924,0.22,12.525,99.832,0.22
9.588,99.741,0.26,5.571,99.816,0.29,6.893,99.921,0.26,11.889,99.823,0.26
17.446,54.313,0.43,9.603,92.217,0.34,12.705,67.462,0.43,19.857,44.074,0.43
