Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.639665713,0.857056418,-0.22931814,-0.22596171,-0.784326198
0.153527927,0.174886541,1.025142904,-0.282452138,-0.009705478
1.519036161,-0.547271393,1.143346893,-0.155348676,-0.380040339
0.010874045,0.337211684,-0.205330167,-0.197716496,-0.403231706
-0.402339675,0.328134332,-0.22931814,-0.261268227,-0.155614796
-0.160731982,-0.053867741,0.803084549,-0.310697351,0.368044805
1.64721397,-1.661726598,1.835749574,-0.24714562,0.637399077
0.366591251,-0.43691189,-0.175975417,-0.268329531,-0.380040339
-1.099230051,0.940899507,-0.22931814,-0.275390834,-0.432747991
-0.388271379,0.062229451,0.143044388,-0.134164765,0.30683123
1.932521733,-1.549747485,1.722989243,-0.091796945,0.84074156
0.194713373,-0.15595342,-0.181096717,0.056490428,-0.010214379
-0.873865463,0.918651835,-0.22931814,-0.2047778,-0.274261536
0.13993537,-0.10609704,0.76904078,0.127103462,1.026345192
1.481588668,-1.239384925,1.816250326,0.402494296,1.351242424
-0.154003666,0.288271827,-0.205049622,-0.02118391,-0.355467669
-1.363333426,1.427146741,-0.22931814,-0.141226069,-0.378222834
-0.658491404,0.581647311,0.484491632,-0.282452138,0.210794254
1.197640161,-1.022796554,1.561672993,-0.211839103,0.592324948
0.154751257,-0.551640574,-0.105047358,-0.240084317,-0.273171033
-0.893778558,0.761323629,-0.22931814,-0.296574744,-0.173208247
0.086584585,-0.214824377,1.293081208,-0.317758655,0.425405269
2.314268684,-2.221823046,2.551587229,-0.112980855,1.120564662
0.376921594,-0.714530698,-0.146976068,-0.324819958,0.637835278
-1.033645966,1.011823379,-0.22931814,-0.381310386,0.378295534
-0.334376892,-0.381481036,1.023539884,-0.367187779,0.833253439
1.987435661,-1.936143851,2.597289139,-0.338942565,1.391591039
0.238481405,-0.506203596,-0.198208632,-0.338942565,0.326024085
-0.667258603,0.667160231,-0.22931814,-0.374249082,-0.162448616
-0.020864574,-0.322735631,0.156512586,0.974459875,1.150735249
1.8525975,-1.974449521,1.197531927,2.189004066,0.039803364
0.568100903,-0.779026348,-0.134580821,0.607272096,-0.361865287
-0.279938703,0.460050976,-0.22931814,-0.169471283,-0.099344835
0.111662852,0.248271216,0.692440446,0.197716496,0.784471599
1.422257158,-0.816001176,2.08178174,0.614333399,1.002499524
-0.022835495,0.149889297,-0.164340879,-0.091796945,-0.1221
-0.291016637,0.173467812,-0.22931814,-0.035306517,0.332785204
0.18927635,0.011004562,0.633044419,-0.211839103,0.447578833
1.811480016,-1.285876533,2.682978196,-0.183593889,1.743678148
0.108468602,0.032687254,-0.102538636,-0.275390834,0.559537154
-0.373523455,0.165733858,-0.22931814,-0.261268227,1.142738226
0.178470268,8.16083E-05,0.910904989,0.218900407,2.224735428
2.16910018,-1.716918905,2.797704368,0.190655193,3.052863501
0.139119817,-0.152500762,-0.128128954,-0.275390834,0.647504406
-0.741881739,1.282097442,-0.22931814,-0.360126475,-0.395888985
0.121789307,-0.025405285,0.904886753,-0.317758655,0.492943763
2.112419219,-1.232793487,2.295125656,0.105919552,0.364118994
0.2852398,-0.502725828,-0.090032789,0.240084317,0.11868309
-0.834243161,0.945356575,-0.22931814,0.077674338,-0.873456654
-0.102623802,0.386352423,0.486418357,0.804988592,-0.314682852
2.484991195,-1.838753787,2.641291591,0.762620772,0.950809676
-0.313920094,0.601446734,-0.077296302,-0.112980855,-1.291991754
-0.692744646,0.231736123,-0.22931814,-0.381310386,0.303923221
0.494972948,-0.582689386,1.434911697,0.091796945,0.34187273
2.451485543,-1.882596265,2.20138306,2.556191845,0.787815808
-0.149246271,0.812473187,-0.166621658,1.645283702,-0.463427478
-0.872846021,0.064589814,-0.22931814,0.437800813,-0.005125365
0.057972254,-0.32101558,1.555135478,-0.338942565,0.240237839
2.813659213,-1.897373641,2.856281014,-0.324819958,0.242564245
0.008699236,-0.086121844,-0.12181601,-0.310697351,-1.013186454
-1.354702152,0.47622197,-0.22931814,-0.310697351,-0.842268264
0.500953673,-0.863409308,1.551818164,0.275390834,-0.137367044
1.632398083,-0.551527578,2.268462388,1.10862464,0.104070348
-0.30991029,1.35320964,-0.160372781,-0.134164765,-0.886615392
-1.937618941,0.943272425,-0.22931814,-0.303636048,-0.654847127
-0.327580614,-0.347569658,1.447611768,-0.24714562,-0.872366151
0.807873601,0.199168142,1.206280085,2.21724928,0.103416046
-0.457253604,1.343416647,-0.207653433,4.39213074,-1.00809744
-0.733454353,1.452696409,-0.22931814,1.426383295,-1.384102918
-0.56925627,1.35315942,0.239058322,0.317758655,-1.242701012
-0.09671104,0.831330977,0.828645194,0.487229937,-0.698031051
-0.649792168,0.892926395,-0.185292083,0.65670122,-0.98708708
-0.839952034,0.939643995,-0.22931814,0.494291241,-1.216528937
-0.168955478,0.430533889,0.668600165,-0.091796945,-1.365855165
0.138168338,1.183765744,0.76393027,1.073318123,-0.396470587
-0.351163699,1.392030071,-0.176411745,1.256912012,-1.239284103
-0.62518964,1.444711353,-0.22931814,1.899490625,-1.289738047
-0.364416442,1.273585071,0.383674033,1.376954171,-0.762225335
0.400980419,1.053267829,0.9695484,1.398138081,-0.382221346
-0.356600722,1.45225698,-0.191440477,0.699069041,-1.110386633
-0.617781697,1.452683854,-0.22931814,0.148287372,-1.344408604
-0.309026774,1.113406853,0.373723442,0.035306517,-1.090975677
0.211704069,1.197425714,0.79658952,1.708835432,-0.558882852
-0.525692126,1.454353685,-0.209618599,1.963042356,-1.143756029
-0.853816442,1.161229304,-0.22931814,4.575724629,-1.375596993
-0.769202777,1.173596097,0.537411514,0.720252951,-0.155105895
0.217480905,0.874784247,0.858844952,-0.105919552,-0.425332569
-0.557498708,1.444698798,-0.14610476,-0.240084317,-1.313147514
-0.843893876,1.410398211,-0.22931814,-0.317758655,-1.483556803
-0.724211415,0.783747073,0.014241721,0.289513441,-0.725875231
0.543906152,0.135626681,1.4838156,2.923379624,-0.316863858
-0.115536731,1.115591444,-0.162277927,2.351414045,-1.248298928
-0.453923427,1.270634618,-0.22931814,0,-1.469234862
0.085769032,0.815235314,1.17441324,-0.360126475,-0.667278863
0.796591779,0.035072727,0.638612164,0.254206924,0.14318306
