Temperatura ,Humedad,Radiacion,Precipitacion,V_Viento
-0.285499162,0.709764776,-0.144931962,-0.146651691,-0.45217177
-0.709244477,0.808734216,-0.144931962,-0.253307467,-0.925798179
-0.617483366,0.880381088,0.121546279,-0.266639439,-0.517686254
1.033733043,-0.613605921,1.754750128,-0.239975495,0.581982495
1.680534024,-1.388198445,0.975017744,-0.146651691,-0.050421788
1.164785803,0.329875096,1.105389259,-0.119987747,-0.574808388
0.158073324,0.759986699,-0.103510353,-0.133319719,-0.709086009
0.004412754,-0.195358671,-0.144931962,-0.213311551,0.040675832
-0.192529077,0.301124197,-0.144931962,-0.226643523,-0.370684745
-0.380040912,0.246847661,-0.144931962,-0.239975495,0.16331245
-0.46732882,0.270783705,0.040003818,-0.27997141,-0.167643986
0.324549015,-0.423753231,1.452849832,-0.27997141,0.935273415
1.214474626,-1.325351929,1.416341289,-0.239975495,0.803296921
1.858857659,-1.777902134,1.859682929,-0.199979579,0.465843181
0.771506627,-0.927239524,-0.052821576,-0.253307467,-0.176171698
0.023756335,0.071416495,-0.144931962,-0.226643523,-0.449058478
-0.627517848,0.678410631,-0.144931962,-0.266639439,-0.01861207
-1.18473387,0.993933315,-0.144931962,-0.226643523,-0.704754473
-0.795686103,0.457318984,-0.037468681,-0.146651691,-0.3907181
0.248141871,-0.397260015,0.390587606,-0.079991832,1.044373982
1.973710169,-1.608253401,2.249174149,-0.039995916,1.21777079
1.607149314,-1.289528494,0.832139395,-0.106655775,0.429972647
0.653389888,-0.667813345,-0.061664863,0.013331972,0.021590001
-0.163876398,0.327525263,-0.144931962,0.119987747,0.041758716
-0.492475475,0.668665735,-0.144931962,-0.106655775,0.027004421
-0.918880533,0.962855621,-0.144931962,-0.253307467,-0.455285061
-0.505895085,0.444901729,0.071768149,-0.27997141,0.552473904
0.897965286,-0.693707584,1.362299889,0.546610849,1.440844904
1.476096555,-1.215163188,1.709826838,0.679930568,1.265282328
1.302608816,-1.11312975,1.532526748,0.106655775,1.332962581
0.349091183,-0.351461308,-0.103025917,0.026663944,-0.260636654
-0.479902148,0.826288852,-0.144931962,-0.039995916,-0.318841671
-0.874994784,1.271950821,-0.144931962,-0.053327888,-0.206763173
-1.407064151,1.292615529,-0.144931962,-0.186647607,-0.415082991
-1.071573923,0.962625245,-0.015496712,-0.27997141,-0.197152577
0.043341711,0.050521411,0.958215034,-0.226643523,0.671997231
1.077860587,-0.850201859,1.486557728,-0.186647607,0.731149772
1.195735532,-1.080669801,1.316200445,-0.186647607,0.454066817
0.665116933,-0.925580818,0.069654564,-0.213311551,-0.130690568
-0.246691103,-0.140759609,-0.144931962,-0.213311551,-0.295559664
-0.616153495,0.610035096,-0.144931962,-0.253307467,-0.202431636
-0.830625446,0.732802356,-0.144931962,-0.27997141,-0.037697901
-0.960831924,0.711031843,0.07824748,-0.306635354,0.013197649
1.257997682,-1.159343134,2.260715604,-0.266639439,0.861231218
2.046611289,-1.92743906,2.41349345,-0.146651691,0.947997302
2.213328775,-2.203544447,2.098614694,-0.039995916,1.220748721
0.6435972,-0.957902541,-0.002746496,-0.239975495,0.470039356
0.170042164,-0.407327437,-0.144931962,-0.34663127,0.799912909
-0.619175929,0.881832455,-0.144931962,-0.34663127,0.25955377
-1.076409818,0.920650776,-0.144931962,-0.34663127,0.52716149
-1.27008742,0.360745452,0.082153246,-0.333299298,0.493321363
0.818414811,-1.114857568,1.791375121,-0.333299298,1.140479941
1.908546482,-1.852428703,2.732396752,-0.306635354,1.281119507
1.769998085,-1.754357728,1.858627884,-0.306635354,1.392250482
0.459228696,-0.670646967,-0.091213131,-0.306635354,0.554639672
0.108142706,-0.312320461,-0.144931962,-0.306635354,0.134751383
-0.392976932,0.342085013,-0.144931962,-0.333299298,-0.293529257
-0.650851043,0.827970595,-0.144931962,-0.34663127,0.073433074
-0.623044645,0.621507811,-0.020396969,-0.039995916,0.564114908
0.729071647,-1.267827094,0.396772316,1.906471985,1.660805725
1.716440546,-1.849088254,1.238719794,2.373091003,0.030117713
1.72224362,-1.827985831,0.935252068,1.786484238,0.126359032
0.840055442,-1.062262775,0.018657192,0.799918316,-0.383408633
0.313668251,-0.421311248,-0.144931962,0.373295214,-0.207981417
0.105120271,-0.206854423,-0.144931962,-0.039995916,0.336844619
-0.45995408,0.996882125,-0.144931962,-0.253307467,-0.439447882
-0.311612996,0.440063837,-0.017831554,-0.173315635,0.416165875
0.653389888,-0.03863402,1.319628761,0.573274793,1.12680853
1.467512841,-0.79813693,2.244101545,0.866578175,0.969113541
1.205649117,-0.753282763,1.456762584,0.319967326,0.979807021
0.216104066,0.083672488,-0.032731456,0.013331972,-0.005752821
-0.113583088,0.137234859,-0.144931962,-0.159983663,-0.13921828
-0.206915865,0.312942475,-0.144931962,-0.119987747,0.403441987
-0.167624217,-0.048770555,-0.144931962,0.079991832,0.298537595
-0.261198788,0.343329042,-0.05977137,-0.173315635,0.068154015
0.741040488,-0.377263396,1.259005552,-0.199979579,0.847559807
1.918822759,-1.400316212,3.17979438,-0.159983663,1.97795539
1.446718492,-1.013284882,1.559195184,-0.159983663,1.350965528
0.363477971,-0.123066748,0.07398654,-0.226643523,0.256440478
-0.027383256,0.128918293,-0.144931962,-0.266639439,0.867728522
-0.071269005,-0.026055502,-0.144931962,-0.266639439,1.276787971
-0.450040495,0.276036274,-0.144931962,-0.199979579,0.933243007
-0.621231185,0.860015868,0.068399222,0.226643523,1.141562825
1.081850201,-0.913992916,1.610635069,0.213311551,3.08303856
2.142845603,-1.668750084,3.087391702,0.253307467,3.187807591
1.858857659,-1.535777177,1.849703081,0.133319719,2.578685315
0.549176346,-0.742639402,0.029798056,-0.186647607,1.648081838
-0.158556913,0.408686654,-0.144931962,-0.306635354,-0.360126626
