Temperatura,Humedad,Radiacion,Precipitacion,V_Viento
-0.26791793,0.476627244,-0.124232773,-0.164066454,-0.070433817
-0.508313583,0.558272208,-0.124232773,-0.300788499,0.112732914
-0.305696498,0.482188417,0.296313923,-0.328132908,-0.408438527
1.01419222,-1.805990782,2.146474747,-0.314460704,0.147658774
1.903611865,-1.852391816,3.386922355,-0.191410863,1.166329686
1.979021428,-2.00337765,1.929829779,-0.068361023,1.078432938
0.466107839,-1.226099516,0.054556238,-0.095705432,0.320735813
0.000811649,0.546698018,-0.124232773,-0.164066454,-0.149405067
-0.205199604,0.631054054,-0.124232773,-0.191410863,0.122046477
-0.460942801,0.694242877,-0.124232773,-0.232427477,0.549500195
-1.073368805,0.620731127,0.008326073,-0.287116295,1.305839092
-0.496065063,-0.17069324,1.324379411,-0.314460704,1.710591001
0.088174587,-0.445345648,1.969895733,-0.27344409,1.487647596
0.990728187,-1.214838141,2.158224123,-0.205083068,1.471154829
0.258768433,-0.630046091,-0.038182996,-0.246099681,0.099150635
0.015716475,-0.187932875,-0.124232773,-0.246099681,-0.417558057
-0.235009256,0.018907987,-0.124232773,-0.314460704,-0.376811221
-0.696911278,0.333357536,-0.124232773,-0.27344409,0.284257692
-0.790619835,0.179903932,0.149186926,-0.164066454,0.925535285
0.21833356,-0.79034689,1.65996788,-0.068361023,0.801160418
1.072630942,-1.214351539,1.680153759,0.068361023,0.448021169
0.643785167,-0.473151511,0.791172347,-0.054688818,1.078626971
-0.040213515,0.284662519,-0.058853064,0.082033227,0.928445774
-0.293890696,0.541971021,-0.124232773,0.246099681,0.512828042
-0.571179482,0.60053712,-0.124232773,-0.054688818,0.407080299
-0.619288127,0.348337945,-0.124232773,-0.232427477,0.020373418
-0.329012958,0.305899247,0.004554494,-0.259771886,0.400871258
0.04227953,0.53821723,0.817188318,0.382821726,1.377243072
0.437183623,0.134232802,1.983920233,0.505871567,1.375690812
0.831940144,-0.692609283,1.157780076,0.109377636,0.752652279
-0.285479061,0.560879008,-0.036495412,0.082033227,1.642485574
-0.228073347,0.177470919,-0.124232773,0.027344409,0.533007427
-0.879163354,0.500644558,-0.124232773,-0.041016614,1.08308972
-0.9331749,0.666263228,-0.124232773,-0.191410863,0.335676319
-0.781470338,0.2490015,-0.026903651,-0.300788499,0.320735813
-0.568818321,0.569776884,0.942634396,-0.27344409,0.826772715
