S4_T,S4_H,S4_P,S4_V,S7_T,S7_H,S7_P,S7_V,S8_T,S8_H,S8_P,S8_V,S9_T,S9_H,S9_P,S9_V
0.500475609,-0.468858868,-0.041194647,0.417850053,0.507888984,-0.433392873,-0.041194647,0,0.523321029,0.23176994,0,-0.651259515,0.343935007,0.262690022,-0.041194647,-0.333327554
0.265716432,-0.184438259,-0.082389295,0.39593005,0.414780131,-0.404608635,-0.082389295,0,0.218111422,0.7580104,-0.041348269,-0.153342418,0.225992692,0.149756217,-0.082389295,0.789691268
0.155818179,-0.172966496,-0.164778589,0.7918601,0.13842513,-0.343129846,-0.164778589,0,-0.00878301,0.551166114,-0.082696539,0.543384907,-0.090549261,0.212653827,-0.164778589,0.500305199
-0.079972907,-0.098004458,-0.205973236,0.567180071,-0.256792236,0.086461335,-0.205973236,0,-0.400358885,0.766415563,-0.124044808,-0.365525532,-0.30132359,-0.04281266,-0.205973236,0.725662246
-0.191934976,-0.026503728,-0.247167884,0.139740018,-0.136444091,0.186391521,-0.247167884,0,-0.799253934,0.697435264,-0.165393078,-0.828673127,-0.2724087,0.515161385,-0.247167884,0.936581377
-0.286354601,0.229830839,-0.247167884,-1.102850139,-0.075527128,0.151198717,-0.247167884,0,-0.633108657,0.492136755,-0.165393078,-0.626742559,-0.186424948,0.56660705,-0.247167884,-0.112992391
-0.160977722,0.035602023,-0.288362531,-0.813780103,-0.136939351,0.380603666,-0.288362531,0,-0.536495544,0.6916386,-0.165393078,-0.630308662,-0.30969369,0.57964465,-0.288362531,-0.411794493
2.172683289,-2.927475258,-0.041194647,2.365990298,0.988291046,-1.849903263,-0.041194647,0,1.077382593,1.078565907,-0.041348269,-1.135357964,0.744938875,-1.966034847,-0.041194647,0.588815906
1.295045133,-1.520503077,-0.082389295,1.476860186,0.355844208,-1.178741719,-0.082389295,0,0.656530018,-0.5126183,-0.082696539,0.710545974,0.981584422,-1.891332923,-0.082389295,0.372874891
0.902919913,-0.868194895,-0.082389295,0.39593005,0.342967451,-1.044922165,-0.082389295,0,0.724598347,-0.848148522,-0.082696539,0.825552787,0.531120873,-0.114167092,-0.082389295,-0.426860145
0.659389514,-0.562907546,-0.123583942,0.171250022,0.505412685,-0.892528631,-0.123583942,0,0.866590346,-0.799263324,-0.124044808,0.776518874,0.675695323,0.513751915,-0.123583942,0.671676993
