S6_T,S6_H,S6_R,S6_P,S6_V,S2_T,S2_H,S2_R,S2_P,S2_V,S3_T,S3_H,S3_R,S3_P,S3_V,S5_T,S5_H,S5_R,S5_P,S5_V
-1.357214275,1.623716544,-1.059206283,-0.330122918,-1.547845086,-1.32673802,0.993558554,-1.083073462,-0.370927215,-1.191155774,-1.474443384,1.429141709,-1.130172048,-0.370927215,-0.718021412,-1.535447735,1.655342196,-1.215744605,-0.370927215,-1.081494191
-0.976929035,1.204127328,-0.298044369,-0.330122918,-0.611511169,-1.14660299,0.886788539,-0.768626289,-0.370927215,-1.336320323,-1.314811373,1.332834656,-0.729152759,-0.370927215,-0.880986504,-1.344877422,1.525835494,-0.949048623,-0.370927215,-0.731781238
-0.716003395,0.734042038,-0.306280601,-0.330122918,0.409944013,-0.502402624,0.096506613,0.158552859,-0.370927215,-1.140348182,-0.71602574,0.657346711,-0.083643874,-0.370927215,-1.561400587,-0.877286022,0.989520608,-0.084003034,-0.370927215,-0.779970031
-0.435030277,0.431511901,0.157528348,-0.293442594,0.452164161,-0.20909726,-0.281401027,-0.324698734,-0.370927215,-0.636304608,-0.291775521,0.068161722,0.3437729,-0.370927215,-1.016790748,-0.425785825,0.084463837,-0.142871527,-0.370927215,-0.13492862
-0.053819768,0.023335307,0.635991272,-0.293442594,-0.005447761,0.031975642,-0.316710193,0.048694915,-0.370927215,0.043549365,0.01225391,-0.358069199,0.185636817,-0.370927215,0.386519771,-0.071779381,-0.241402659,0.240469292,-0.370927215,-0.839173405
0.2509019,-0.31120118,0.521127286,-0.25676227,-0.319374987,0.370147352,-0.663444665,0.600023074,-0.331882245,0.787114445,0.352051509,-0.626277648,1.23262971,-0.331882245,0.691556995,0.289799393,-0.53414741,0.547853693,-0.331882245,0.090870295
0.915552909,-0.823876593,1.396107556,-0.220081946,0.516175352,0.775953403,-0.849794338,1.682463235,-0.253792305,1.070991786,0.624287012,-0.802969738,0.98701308,-0.253792305,0.577342144,0.522648551,-0.713167396,0.40421094,-0.253792305,-0.366234825
1.12373826,-0.863533862,1.839333502,-0.183401621,0.973787273,0.759547053,-0.722957076,1.613825934,-0.175702365,1.120992909,0.434185821,-0.566816673,0.751894701,-0.175702365,0.974308395,0.785156003,-0.675033362,1.24149915,-0.175702365,1.000261655
1.129289869,-0.946100043,1.606222386,-0.183401621,1.18148316,0.891132679,-0.95258154,1.00344245,-0.136657395,1.11534762,0.49843605,-0.58386591,0.587940486,-0.136657395,1.371274646,0.419791064,-0.287800196,-0.099951765,-0.136657395,1.607440443
1.023809291,-1.138520687,0.591892958,-0.220081946,1.23459883,0.888788914,-1.105536861,0.918035864,-0.136657395,1.291158019,0.471609923,-0.609228411,0.125900341,-0.136657395,0.73473578,0.476899055,-0.279130291,-0.37761292,-0.136657395,0.779281619
0.856952588,-1.061692696,-0.127125515,-0.183401621,1.106576447,0.774614109,-1.221497981,0.262005227,-0.136657395,1.051636513,0.631573121,-0.933234362,0.339367221,-0.136657395,1.08295179,0.410010137,-0.401254027,-0.40685562,-0.136657395,1.451859483
0.398944817,-0.787088418,-1.017316672,-0.146721297,-0.834869369,-0.316910419,-0.001914814,-0.920552576,-0.097612425,0.919375479,-0.097037716,-0.252462563,-0.873936413,-0.097612425,1.387989014,0.184102282,-0.328372641,-0.768491245,-0.097612425,1.440844902
-1.587914486,1.43760791,-1.129055134,-0.330122918,-0.520942143,-1.5232794,-0.485060617,-1.08960438,-0.331882245,-1.039539467,-1.594332985,0.092678806,-1.245268594,-0.331882245,0.473573773,-1.708033765,0.530896196,-1.272737962,-0.331882245,0.371053704
-1.612279883,1.094655411,-0.949070363,-0.366803243,-0.095335817,-1.226960624,-0.949671023,-0.918834087,-0.370927215,0.20161743,-1.42708368,-0.051957901,-0.962752569,-0.370927215,-0.325930185,-1.496955056,0.168792207,-1.030015484,-0.370927215,0.230617794
-1.498163468,0.819796102,-0.668492942,-0.366803243,-0.1116791,-1.006981601,-1.106532564,-0.621205675,-0.370927215,-0.20161743,-0.978656828,-0.446837953,-0.486518378,-0.370927215,-1.321827972,-1.280828127,0.11176049,-0.677560628,-0.370927215,-0.091558706
-1.00006074,0.440310459,1.129494601,-0.330122918,0.388833939,-0.592470139,-1.265462105,0.057947048,-0.370927215,0.251618552,-0.61435141,-0.948099605,0.000243337,-0.370927215,-0.004875024,-0.872237802,-0.290374074,-0.057720897,-0.370927215,-0.468119701
-0.632729255,0.193695797,0.891227316,-0.330122918,-0.244468274,-0.591130845,-1.244322561,-0.143713164,-0.370927215,0.220166233,-0.425574966,-0.980929954,0.418914618,-0.370927215,0.45198438,-0.350378036,-0.764848156,1.081585063,-0.370927215,0.182429001
-0.057212419,-0.47939391,1.173865689,-0.330122918,1.191697712,-0.251285018,-1.599405621,0.235040455,-0.370927215,-0.11371223,-0.133137071,-1.204119963,0.781761109,-0.370927215,0.620520929,-0.300526861,-0.765728693,0.504460106,-0.370927215,0.602359909
-0.061530337,-0.563171486,1.482534948,-0.293442594,1.904673429,0.070480341,-1.627055531,0.707654569,-0.331882245,0.535495893,0.234480215,-1.280841529,2.169220813,-0.331882245,1.039773004,-0.125732235,-0.809484618,0.547349624,-0.331882245,1.54892548
0.276192565,-0.687945243,0.630020573,-0.293442594,1.212807786,0.280749484,-1.33500814,1.305701876,-0.292837275,0.900826675,0.496448929,-1.253788195,3.040275604,-0.292837275,1.050219485,0.018773069,-0.775346868,0.811444612,-0.292837275,1.55925165
0.613607045,-0.847594445,0.433070832,-0.25676227,-0.1116791,0.299499598,-0.985516336,1.309495086,-0.292837275,0.780662687,0.019871205,-0.793811057,0.272242815,-0.292837275,0.860093544,0.26361175,-0.839422883,0.952913149,-0.292837275,1.161349904
