S6_T,S6_H,S6_P,S6_V,S2_T,S2-H,S2_P,S2_V,S3_T,S3_H,S3_P,S3_V,S5_T,S5_H,S5_P,S5_V
0.548590538,-0.467773559,0,-0.786792771,0.371551127,-0.397195492,-0.041194647,-0.609876216,0.373274432,-0.472730325,-0.041194647,0.665450324,0.389584596,-0.37294208,-0.041194647,0.072140822
0.386561606,0.006273867,-0.041348269,-0.362964879,0.285681533,-0.658591425,-0.082389295,-0.760592752,0.24611501,-0.39306154,-0.082389295,0.499087743,0.373900385,-0.644717323,-0.082389295,1.176209062
0.297613973,0.042237448,-0.082696539,-0.069715815,0.164803567,-0.614863481,-0.164778589,-0.567815787,0.368586527,-1.057776319,-0.164778589,0.62588849,0.16496429,-0.319703542,-0.164778589,0.392069687
0.198088783,-0.031072929,-0.124044808,-0.060863013,-0.011559368,-0.045914341,-0.205973236,-0.979657485,-0.110165766,-0.284642715,-0.205973236,-0.7293579,-0.329648504,-0.027912788,-0.205973236,0.183488614
0.102409978,-0.383199862,-0.165393078,0.233492651,-0.154895537,-0.014333048,-0.247167884,-0.37679134,-0.471720436,0.043384849,-0.247167884,-1.205114306,-0.656216181,0.131666663,-0.247167884,0.379523457
-0.014904739,-0.018426395,-0.165393078,0.846549184,-0.147629648,-0.33354704,-0.247167884,-0.923576913,-0.229121354,0.01411523,-0.247167884,-1.101644895,-0.169445493,-0.23337814,-0.247167884,0.672791583
-0.141835415,0.306925454,-0.165393078,-0.769087167,-0.218306929,-0.131426765,-0.288362531,-0.869248859,-0.245529022,0.024853197,-0.288362531,-1.046866973,-0.120152258,-0.212273349,-0.288362531,-0.748068963
2.12656963,-2.991942717,-0.041348269,1.616742952,1.094176786,-1.628865918,-0.041194647,3.361329259,1.288587873,-2.288312666,-0.041194647,2.750054615,1.386092138,-2.358698665,-0.041194647,2.401034765
1.747700792,-2.488353778,-0.082696539,2.005159637,0.510263548,-0.581095791,-0.082389295,0.650184127,1.006727588,-1.512407974,-0.082389295,1.497263228,0.9710207,-1.479922403,-0.082389295,1.494569648
1.429893303,-2.088110735,-0.082696539,1.815930995,0.369569521,0.119037181,-0.082389295,1.691179737,0.764714495,-1.071285374,-0.082389295,1.291338814,0.698787611,-0.955025829,-0.082389295,0.722976503
0.843319722,-1.063939079,-0.124044808,1.123199245,0.24935209,0.401082421,-0.123583942,1.060273306,0.5326632,-0.582534695,-0.123583942,0.752689238,0.628208662,-0.763584951,-0.123583942,0.697884043
0.480317219,-0.145879746,-0.124044808,-0.026558406,0.244067807,0.264796995,-0.082389295,0.212054661,0.368000539,-0.204627543,-0.082389295,0.229255752,0.426554521,-0.361096165,-0.082389295,0.122325742
0.312037913,0.246459213,-0.124044808,-0.623015936,0.071007549,0.251921545,-0.123583942,0.129686322,0.124815469,0.248445375,-0.123583942,0.316494666,0.360456775,-0.168021368,-0.123583942,-0.674359862
0.330789036,0.189154605,-0.124044808,-0.423827892,-0.026751681,0.364642467,-0.123583942,-0.103398554,-0.060942764,0.442594741,-0.123583942,-0.404747986,0.260750006,0.085644603,-0.123583942,-0.515963708
0.21587831,0.404936093,-0.124044808,-0.294355664,-0.215664788,0.516232674,-0.123583942,0.403079108,-0.055668871,0.166351888,-0.123583942,0.395618333,0.160483087,-0.011301275,-0.123583942,0.771593145
0.125969081,0.534958271,-0.124044808,-0.786792771,-0.36692738,0.513317477,-0.123583942,-0.089378411,-0.093758099,-0.207571824,-0.123583942,-0.143031243,-0.000280075,-0.223166144,-0.123583942,0.807663556
0.035098255,0.448013349,-0.124044808,0.501289909,-0.537345497,-0.113449722,-0.164778589,0.157726608,-0.083796301,-0.984688868,-0.164778589,1.268007476,-0.113990604,-0.37103584,-0.164778589,1.016244629
-0.162028932,0.465896339,-0.165393078,0.898559396,-0.392027723,-4.134720049,-0.205973236,0.021030214,-0.227949378,-2.228214691,-0.205973236,2.725708871,-0.232742487,-0.88286106,-0.205973236,1.444384728
-0.292805992,0.36037682,-0.165393078,0.933970603,-0.942914194,-2.899891494,-0.205973236,0.567815787,-0.54496895,-2.457175853,-0.205973236,2.812947786,-0.364377828,-1.83598065,-0.205973236,2.192453691
1.374601531,-1.690535321,-0.165393078,1.348945694,0.203114616,-2.086065867,-0.164778589,0.732552466,0.514497568,-2.205006828,-0.164778589,2.392983709,1.022554536,-2.169027867,-0.164778589,2.021511308
1.05246686,-1.278732555,-0.165393078,0.544447319,-0.056475771,-1.707333285,-0.205973236,0.021030214,0.275414416,-1.975179701,-0.205973236,1.790426557,0.623167308,-1.774980996,-0.205973236,1.825476464
0.770719222,-1.021454628,-0.124044808,0.829950181,-0.150271789,-1.491851693,-0.164778589,-0.774612895,0.198063984,-1.95093268,-0.164778589,0.910936571,0.363257527,-1.554674211,-0.164778589,1.224825703
0.498106746,-0.764176701,-0.124044808,0.890813194,-0.205756757,-1.576149452,-0.164778589,-0.473179823,0.294752024,-2.282077718,-0.164778589,-0.286062487,0.264671059,-1.372219889,-0.164778589,0.305814356
0.272612476,-0.659052386,-0.124044808,1.408702107,-0.24935209,-1.425530978,-0.205973236,-1.005945253,0.154700863,-2.109750671,-0.205973236,0.482857247,0.231622186,-1.577821401,-0.205973236,1.444384728
0.086062845,-0.394561983,-0.165393078,0.614163134,-0.319368835,-1.537766035,-0.247167884,-0.089378411,-0.03750324,-1.828138834,-0.247167884,0.031446585,0.09382519,-1.665916883,-0.247167884,0.440686329
-0.05096459,-0.329649695,-0.165393078,0.060863013,-0.425715025,-1.316939917,-0.247167884,0.90955677,-0.289478131,-1.269937758,-0.247167884,-0.111584658,-0.127434214,-1.305909998,-0.247167884,0.379523457
-0.291844396,-0.313742726,-0.165393078,0.535594517,-0.648975969,-0.580366992,-0.247167884,-1.033985539,-0.451796839,-1.213823222,-0.247167884,-0.008115248,-0.368298881,-0.943043754,-0.247167884,0.588104531
-0.616383058,0.132442804,-0.165393078,-0.423827892,-0.717011108,-0.401568287,-0.247167884,-0.609876216,-0.772918329,-0.9813982,-0.247167884,-0.737473148,-0.685904152,-0.69673042,-0.247167884,0.46421051
